javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Saya menginap di hotel yang jauh, hanya perlu berjalan kaki, di sini banyak sekali pilihan makanannya, tempatnya yang nyaman, dan menyenangkan.",0.9597514271736145
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Ya benar, dia sedang menjaga warung.",0.9841433763504028
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"Rasanya lumayan, tapi sausnya tidak terasa karena sausnya kosong sendiri, jadi tidak dimakan yuyunya dan dibuang saja.",0.8793903589248657
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Saya sedang berjalan-jalan di kota Braga, melewati gedung-gedung seperti hotel Aston dan Fave Hotel. Tempat ini sangat nyaman untuk bersantai-santai. Kopi campur teh yang baru ini saya coba, rasanya enak sekali, dipadukan dengan endog setengah matang menjadi teman ngobrol bersama teman-teman. Tempat yang bebas rokok juga menambah kesenangan dan menikmati pemandangan orang-orang yang lalu lalang di jalanan malam ini.",0.9214543104171753
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar menerima bantuan sosial 2018 sebesar Rp 44,9 milyar.",0.9222225546836853
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"Ini salah satu contoh generasi yang tidak bermanfaat bagi bangsa, malah membahayakan bangsa! Sangat memalukan membuat UU ITE seperti ini.",0.9168978929519653
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Selamat sore teman, saat ini sedang berlangsung pemeliharaan sehingga aplikasi tidak dapat diakses.",0.9707456827163696
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,Aku juga merasa sangat kesepian dengan diri sendiri ini.,0.8573973178863525
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhir yang hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa mengambil makanan sepuasnya, tapi rasanya tidak enak, pintar-pintar saja membuat sendiri. Penggemar daging sapi pasti senang di sini.",0.9574993848800659
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk mencapai puncak memang terasa sangat jauh dari pusat kota Bandung, dan aksesnya cukup membingungkan serta jalan berkelok-kelok. Namun, kamu tidak akan tersesat karena hampir di setiap tumpukan ada tanda menuju The Peak. Tempatnya sangat bagus untuk kamu yang mencari suasana malam romantis, dengan pemandangan malam kota yang indah sekali.",0.9568058848381042
Kebon raya bogor isa didadekne salah siji tujuan destinasi wisata,Kebun raya bogor bisa dijadikan salah satu tujuan destinasi wisata,Kebun raya Bogor bisa dijadikan salah satu tujuan destinasi wisata.,0.9659962058067322
"The peak panggone ning cedeke lembang, waratan duwur ning bandung sing adem lan panggone sing apik banget nanging dalan ngge moro panggonan iki kelok-kelok banget lan tikungan landep lan curam, ora disarane dingge motoran pas udan-udan lan wengi. Ning the peak ana nggen mangan sing pemandangane kutha bandung sing indah saka nggunung, rega panganane sing larang banget lan ora sumbut.","The peak berlokasi di dekat lembang, dataran tinggi di bandung yang sejuk dan lokasi yang sangat baik namun jalan untuk mencapai tempat ini sangat berkelok disertai tikungan tajam nan curam, tidak disarankan untuk berkendara saat hujan dan malam hari. Di the peak terdapat restoran dengan pemandangan kota bandung yang indah dari perbukitan, harga makanan yang sangat mahal dan sangat tidak sesuai.","Puncak Panggone Nglenggeng sangat lembap, jalur pendakiannya tinggi dan Bandung yang sejuk serta pemandangan yang sangat indah tetapi jalurnya sangat menantang dan tikungan tajam serta curam, tidak disarankan saat hujan-hujan dan malam hari. Namun, puncak ini bagus untuk menikmati pemandangan kota Bandung yang indah dari gunung, harganya sangat mahal dan tidak disebutkan.",0.9097909927368164
Aku kapok nganggo jasa lion air,Saya kapok menggunakan jasa lion air,Aku kapok memakai jasa Lion Air.,0.92109614610672
Akeh bab sing isa dhewe tindakake kanggo ngisi wektu luwang.,Banyak hal yang dapat kita lakukan untuk mengisi waktu luang.,Ada banyak bab yang bisa saya ikuti untuk mengisi waktu luang.,0.9578115344047546
Saya apatis ngelaporake bab-bab kaya iki. Amarga nganti minggu wingi isih tetep hurung digarap. Mung janji-janji terus.,Semakin apatis melaporkan hal-hal seperti ini. Karena sampai minggu lalu masih tetap belum dikerjakan. Hanya janji-janji terus.,Saya merasa apatis melaporkan hal-hal seperti ini. Karena sampai minggu lalu masih tetap sama dalam penggarapan. Hanya janji-janji terus.,0.9596443176269531
Rega dhuwur banget porsi sithik banget ora janji maneh aku teko kanggo kepindho. Panganane ora beda adoh karo emakku dong!,Harga selangit porsi seiprit tidak janji lagi saya datang untuk yang kedua kali. Masakannya tidak beda jauh sama ema saya dong!,"Rega sangat tinggi porsinya sangat sedikit, tidak janji lagi aku datang untuk bersama lagi. Makanan tidak jauh berbeda seperti ibuku dong!",0.9057920575141907
