javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","Dekat dari hotel tempat saya menginap, ada banyak pilihan makanan, tempat yang nyaman, dan pemandangan yang indah.",0.9257727265357971
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","Iya benar, adikku sedang menjaga warung.",0.9706961512565613
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"Kangkungnya lumayan enak, tetapi sayangnya ikan masnya kosong, akhirnya dia tidak makan ikannya dan dikembalikan.",0.8998645544052124
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","Saya sangat merekomendasikan tempat ini untuk bersantai. Kopi dan teh yang segar sekali ini saya coba rasanya sangat enak, apalagi dipadukan dengan telur setengah matang menjadi teman ngobrol yang asyik bersama teman-teman. Tempat yang bebas rokok ini tambah menyenangkan dengan menikmati pemandangan orang-orang yang masuk dan keluar dari mal ini.",0.9059566855430603
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","Gianyar menerima bantuan sosial sebesar Rp 44,9 miliar pada tahun 2018.",0.9068285226821899
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"Ini salah satu contoh generasi yang tidak berguna. Tidak hanya tidak bermanfaat bagi bangsa, tetapi malah menjadi sesuatu yang membahayakan bagi bangsa! Benar-benar menjerumuskan saja membuat undang-undang itu.",0.9273874759674072
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Selamat sore, teman-teman. Saat ini, aplikasi sedang dalam pemeliharaan, sehingga tidak dapat diakses.",0.9398528337478638
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,"Benar, benda rapuh ini juga aku pegang dengan hati-hati.",0.8630180358886719
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","Terakhir yang hemat harganya 120 ribu / orang. Tapi puasanya lebih dari itu. Bisa mengambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintarnya sendiri meracik sendiri. Kalau penggemar daging sapi pasti senang di sini.",0.9702959060668945
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","Untuk mencapai puncaknya memang terasa jauh dari pusat kota Bandung, dan aksesnya cukup membingungkan dengan jalan-jalan sempit yang berkelok-kelok. Namun, Anda tidak akan tersesat karena di setiap sudut ada petunjuk arah ke puncak. Tempat ini sangat cocok untuk Anda yang mencari suasana malam yang romantis, dengan pemandangan malam kota yang sangat indah.",0.950198233127594
Kebon raya bogor isa didadekne salah siji tujuan destinasi wisata,Kebun raya bogor bisa dijadikan salah satu tujuan destinasi wisata,Kebun Raya Bogor dapat dijadikan salah satu tujuan destinasi wisata.,0.9609383344650269
"The peak panggone ning cedeke lembang, waratan duwur ning bandung sing adem lan panggone sing apik banget nanging dalan ngge moro panggonan iki kelok-kelok banget lan tikungan landep lan curam, ora disarane dingge motoran pas udan-udan lan wengi. Ning the peak ana nggen mangan sing pemandangane kutha bandung sing indah saka nggunung, rega panganane sing larang banget lan ora sumbut.","The peak berlokasi di dekat lembang, dataran tinggi di bandung yang sejuk dan lokasi yang sangat baik namun jalan untuk mencapai tempat ini sangat berkelok disertai tikungan tajam nan curam, tidak disarankan untuk berkendara saat hujan dan malam hari. Di the peak terdapat restoran dengan pemandangan kota bandung yang indah dari perbukitan, harga makanan yang sangat mahal dan sangat tidak sesuai.","Puncak ini terletak di dekat Lembang, merupakan tempat yang sejuk dan memiliki pemandangan yang sangat indah, tetapi jalan menuju lokasi ini sangat berkelok-kelok dan memiliki tikungan yang landai dan curam, sehingga tidak disarankan untuk berkendara motor saat hujan dan malam hari. Di Puncak ini ada beberapa tempat makan yang menawarkan pemandangan kota Bandung yang indah dari atas gunung, tetapi harganya sangat mahal dan tidak ramah di kantong.",0.930825412273407
Aku kapok nganggo jasa lion air,Saya kapok menggunakan jasa lion air,Aku kapok menggunakan jasa Lion Air.,0.9234257340431213
Akeh bab sing isa dhewe tindakake kanggo ngisi wektu luwang.,Banyak hal yang dapat kita lakukan untuk mengisi waktu luang.,Banyak bab yang bisa dilakukan sendiri untuk mengisi waktu luang.,0.9561059474945068
