javanese,indonesian
Aku arep lunga menyang toko buku kanggo tuku novel anyar.,Saya mau pergi ke toko buku untuk membeli novel baru.
"Bapak mundhutaken arloji énggal, awit arloji ingkang lami sampun risak.","Ayah membelikan jam tangan baru, karena jam tangan yang lama sudah rusak."
"Nalika aku cilik, aku seneng banget dolanan layangan ing lapangan karo kanca-kanca.","Ketika aku kecil, aku sangat senang bermain layangan di lapangan bersama teman-teman."
"Menawi panjenengan kersa, sumangga kula dherekaken tindak dhateng griya.","Jika Anda berkenan, mari saya antarkan pulang ke rumah."
"Kucing ku iku lucu banget, senengane turu ning pangkonku karo nggereng.","Kucingku itu lucu sekali, sukanya tidur di pangkuanku sambil mendengkur."
"Saben dina Minggu, aku mesti lunga menyang pasar kanggo blanja kebutuhan kanggo seminggu.","Setiap hari Minggu, aku pasti pergi ke pasar untuk berbelanja kebutuhan selama seminggu."
Simbahe ngendika yen urip kuwi kudu eling lan syukur marang Gusti Kang Maha Kuwasa.,Kakek berkata bahwa hidup itu harus ingat dan bersyukur kepada Tuhan Yang Maha Kuasa.
"Mangga dipun raosaken sekulipun, mugi-mugi cocog kalian selera panjenengan.","Silakan dicicipi nasinya, semoga cocok dengan selera Anda."
"Nek kowe pengen pinter, yo kudu sregep sinau lan aja males maca buku.","Kalau kamu ingin pintar, ya harus rajin belajar dan jangan malas membaca buku."
"Aku arep lungo menyang Jakarta sesuk, ono urusan penting sing kudu tak rampungke.","Saya mau pergi ke Jakarta besok, ada urusan penting yang harus saya selesaikan."
Dalem badhé matur bilih sedaya kalawarganipun dalem tansah sehat lan bagas waras.,Saya ingin memberitahu bahwa semua keluarga saya selalu sehat dan walafiat.
"Sawise lulus sekolah, aku kepengin ngelanjutke kuliah ing jurusan kedokteran.","Setelah lulus sekolah, saya ingin melanjutkan kuliah di jurusan kedokteran."
"Yen ora udan, becike mlaku-mlaku sore ing taman karo ngombe es teh.","Jika tidak hujan, enaknya berjalan-jalan sore di taman sambil minum es teh."
Simbah mesthi ngendika yen urip kuwi kudu ngati-ati lan ora oleh serakah.,Kakek selalu berkata bahwa hidup itu harus berhati-hati dan tidak boleh serakah.
"Mugi-mugi Gusti Allah tansah maringi berkah lan rahmat dhumateng kita sedaya, amin.","Semoga Tuhan Allah selalu memberikan berkah dan rahmat kepada kita semua, amin."
"Aku seneng banget yen iso ndeleng kowe mesem, rasane atiku dadi ayem.","Saya sangat senang jika bisa melihat kamu tersenyum, rasanya hatiku jadi tentram."
"Nalika isih cilik, aku kerep nginep ing omahe mbah lan krungu dongeng sakdurunge turu.","Ketika masih kecil, saya sering menginap di rumah nenek dan mendengarkan dongeng sebelum tidur."
Kula nyuwun pangapunten sanget menawi wonten atur ingkang kirang trep.,Saya mohon maaf yang sebesar-besarnya jika ada perkataan yang kurang tepat.
"Sesuk aku arep lunga menyang Bandung karo kanca-kancaku, pengen refreshing sakdurunge ujian.","Besok saya mau pergi ke Bandung bersama teman-temanku, ingin refreshing sebelum ujian."
"Tolong resikono kamarmu dewe, wis koyo kandang kewan wae","Tolong bersihkan kamarmu sendiri, sudah seperti kandang hewan saja."
"Menawi sampun rampung anggenipun maem, monggo dipun resiki sesarengan.","Jika sudah selesai makan, mari kita bersihkan bersama."
"Aku kangen banget karo suasana kampung, tentrem lan adhem hawane.","Saya kangen banget dengan suasana kampung, tentram dan dingin hawanya."
Bapak ngendikan yen arep sukses kuwi kudu sregep nyambut gawe lan ora lali ndonga.,Ayah berkata kalau mau sukses itu harus rajin bekerja dan tidak lupa berdoa.
"Mugi-mugi panjenengan tansah pinaringan kesehatan lan rejeki ingkang lancar, amin.","Semoga Anda selalu diberikan kesehatan dan rejeki yang lancar, amin."
"Aku seneng ndelok kowe ketawa, rasane kabeh masalahku ilang.","Saya senang melihat kamu tertawa, rasanya semua masalahku hilang."
"Tulung omongke marang ibuk, yen aku sesuk ora iso mulih, ono tugas kelompok.","Tolong katakan kepada ibu, jika aku besok tidak bisa pulang, ada tugas kelompok."
"Aku nyuwun pamit rumiyin, wonten acara ingkang kedah kula rawuhi.","Saya mohon pamit dulu, ada acara yang harus saya hadiri."
"Nek wes gedhe, ojo lali marang wong tuwa, sing wis ngopeni kowe saka cilik tekan saiki.","Kalau sudah besar, jangan lupakan orang tua, yang sudah merawat kamu dari kecil hingga sekarang."
