javanese,indonesian
"Dhek biyen, aku lan kancaku kerep dolan menyang kali. Saiki kaline wis asat lan reged.","Dulu, saya dan teman-teman sering bermain ke sungai. Sekarang sungainya sudah kering dan kotor."
"Menawi panjenengan sampun siyap, mangga dipun wiwiti sinau sakmenika. Mugi-mugi pikantuk ilmu ingkang bermanfaat.","Jika anda sudah siap, mari kita mulai belajar sekarang. Semoga mendapatkan ilmu yang bermanfaat."
Wes suwe aku ora ketemu kowe. Opo kabarmu saiki?,Sudah lama saya tidak bertemu kamu. Apa kabarmu sekarang?
Kula nyuwun sewu menawi wonten atur ingkang mboten sae.,Saya mohon maaf jika ada perkataan yang tidak baik.
"Aja lali sholat limang wektu, kui wajib kanggo umat Islam.","Jangan lupa sholat lima waktu, itu wajib untuk umat Islam."
"Pancen angel golek duwit saiki, nanging kudu tetep semangat.","Memang sulit mencari uang sekarang, tetapi harus tetap semangat."
Ibuk lagi masak sego goreng kanggo sarapan sesuk.,Ibu sedang memasak nasi goreng untuk sarapan besok.
"Menawi kesah dhateng Solo, ojo lali mampir dhateng Keraton Surakarta.","Kalau pergi ke Solo, jangan lupa mampir ke Keraton Surakarta."
Aku seneng banget yen iso nulungi wong sing lagi kesusahan.,Saya senang sekali jika bisa membantu orang yang sedang kesusahan.
Mugi-mugi panjenengan tansah diparingi kesehatan lan kebahagiaan dening Gusti Allah.,Semoga anda selalu diberikan kesehatan dan kebahagiaan oleh Tuhan Allah.
Arep lunga nang ndi kowe iki? Kok nganggo klambi apik men?,Mau pergi kemana kamu ini? Kok memakai baju bagus sekali?
Kula nyuwun gunging pangapunten sedanten kalepatanipun. Mugi dipun paringi sabar lan ikhlas.,Saya mohon maaf atas semua kesalahan. Semoga diberi kesabaran dan keikhlasan.
"Yen pengen pinter, yo kudu gelem sinau sing sregep, ojo males-malesan.","Kalau mau pintar, ya harus mau belajar yang rajin, jangan bermalas-malasan."
