javanese,indonesian
"Aku wingi tuku sega goreng ning pinggir dalan, rasane enak banget!","Saya kemarin beli nasi goreng di pinggir jalan, rasanya enak sekali!"
"Sugeng enjing, Bu. Pripun kabare dinten niki?","Selamat pagi, Bu. Bagaimana kabarnya hari ini?"
"Menawi sampun rampung, monggo dipunresiki supados lingkungan kita dados resik lan sehat.","Jika sudah selesai, mari dibersihkan supaya lingkungan kita jadi bersih dan sehat."
Kula ajeng nyuwun pamit amargi badhe tindak dateng dalemipun simbah ingkang nembe gerah.,Saya ingin mohon pamit karena akan pergi ke rumah kakek yang sedang sakit.
Aja lali ngibadah lan ndedonga supaya uripmu tansah diberkahi Gusti Allah.,Jangan lupa beribadah dan berdoa supaya hidupmu selalu diberkahi Tuhan Allah.
"Mau esuk aku tuku roti ning toko cedhak omah, rasane legi banget nganti nggarai aku ketagihan.","Tadi pagi saya beli roti di toko dekat rumah, rasanya manis sekali sampai bikin saya ketagihan."
"Nyuwun sewu, badhe taken, menawi saking mriki dhateng Tugu Yogyakarta punika langkung prayogi numpak napa nggih?","Permisi, mau tanya, kalau dari sini ke Tugu Yogyakarta sebaiknya naik apa ya?"
Mugi-mugi sedaya ingkang dipun kajataken saged kaleksanan kanthi lancar lan tansah dipun paringi kesehatan.,Semoga semua yang dicita-citakan dapat terlaksana dengan lancar dan selalu diberikan kesehatan.
"Yen kepengen uripmu tentrem, kudu iso ngopeni lingkungan lan ojo ngrusak alam.","Jika ingin hidupmu tenteram, harus bisa menjaga lingkungan dan jangan merusak alam."
"Dhik wingi aku weruh kowe ing mall karo wong lanang, kuwi sopo to? Kok ora dikenalke marang aku?","Kemarin saya melihat kamu di mall sama laki-laki, itu siapa sih? Kok tidak dikenalkan ke saya?"
"Kula sampun dangu mboten pinanggih kalih panjenengan, kepripun kabare sakmenika?","Saya sudah lama tidak bertemu dengan anda, bagaimana kabarnya sekarang?"
"Aja kesusu mundhak nesu, luwih becik diademke pikirane banjur dirundingake kanthi becik.","Jangan terburu-buru menjadi marah, lebih baik ditenangkan pikirannya kemudian dirundingkan dengan baik."
Mugi-mugi panjenengan sedoyo tansah dipun paringi kaberkahan lan kalancaran ing sedoyo urusanipun.,Semoga anda semua selalu diberikan keberkahan dan kelancaran dalam semua urusannya.
"Sesuk arep lunga menyang Surabaya numpak sepur, muga-muga perjalananku lancar lan selamet nganti tujuan.","Besok akan pergi ke Surabaya naik kereta, semoga perjalananku lancar dan selamat sampai tujuan."
"Yen arep ngewangi wong liyo, ojo ngarep-arep balesan, nanging kudu ikhlas lan lila legawa.","Jika ingin membantu orang lain, jangan mengharap balasan, tetapi harus ikhlas dan rela berkorban."
"Mau bengi aku ngimpi ketemu karo idola-ku, seneng banget rasane nganti ora iso turu maneh.","Tadi malam saya mimpi bertemu dengan idola-ku, senang sekali rasanya sampai tidak bisa tidur lagi."
"Nek arep mangkat sekolah ojo lali sarapan dhisik, ben kuat sinau lan ora lemes.","Kalau mau berangkat sekolah jangan lupa sarapan dulu, biar kuat belajar dan tidak lemas."
"Kula ngaturaken sugeng ambal warsa, mugi-mugi tansah pinaringan kesehatan, katentreman, lan kabagyan.","Saya mengucapkan selamat ulang tahun, semoga selalu diberikan kesehatan, ketentraman, dan kebahagiaan."
"Menawi sampun rampung nyambut damel, monggo dipun istirahataken sekedap supados awakipun seger lan boten gampang gerah.","Jika sudah selesai bekerja, mari diistirahatkan sebentar supaya badannya segar dan tidak gampang sakit."
"Sugeng sonten, Pakdhe. Kados pundi kabaripun panjenengan sak keluarga ing ndesa?","Selamat sore, Paman. Bagaimana kabarnya anda sekeluarga di desa?"
"Aja nganti lali sholat limang wektu, amarga kuwi kewajiban kanggo umat Islam lan minangka cagak agama.","Jangan sampai lupa sholat lima waktu, karena itu kewajiban bagi umat Islam dan sebagai tiang agama."
"Kula nyuwun agunging pangapunten, menawi wonten atur kula ingkang kirang trapsila lan mboten ndadosaken renaning penggalih panjenengan.","Saya mohon maaf yang sebesar-besarnya, jika ada perkataan saya yang kurang sopan dan tidak membuat senang di hati anda."
"Wingi aku lunga menyang pantai karo kanca-kancaku, seneng banget rasane bisa ngilangke penat lan ngademke pikiran.","Kemarin saya pergi ke pantai dengan teman-temanku, senang sekali rasanya bisa menghilangkan penat dan mendinginkan pikiran."
"Dadi wong kuwi kudu jujur lan adil, aja ngapusi lan nglarani atine wong liyo.","Menjadi orang itu harus jujur dan adil, jangan menipu dan menyakiti hati orang lain."
"Nek arep tuku sega, aja lali dijalukake sambel lan krupuk. Tambah nikmat yen lawuhe iwak asin karo tempe goreng.","Kalau mau beli nasi, jangan lupa dimintakan sambal dan kerupuk. Tambah nikmat kalau lauknya ikan asin sama tempe goreng."
Mugi-mugi sedaya ingkang kula tindakaken punika saged dados berkah lan migunani tumrap kula lan panjenengan sedaya.,Semoga semua yang saya lakukan ini dapat menjadi berkah dan berguna bagi saya dan anda semua.
"Yen lungo adoh, ojo lali pamit karo wong tuwa. Supaya dilancarke anggone lelungan lan dijauhke saka bebaya.","Kalau pergi jauh, jangan lupa pamit dengan orang tua. Supaya dilancarkan perjalanannya dan dijauhkan dari bahaya."
"Dhik kae aku weruh kowe ing mall karo wong lanang liyo, kok ora dikenalke marang aku? Apa kuwi pacar anyarmu?","Kemarin saya melihat kamu di mall dengan laki-laki lain, kok tidak dikenalkan kepada saya? Apa itu pacar barumu?"
"Panjenengan kedah ngatos-atos anggenipun nyambut damel, amargi saiki kathah persaingan ingkang mboten sehat.","Anda harus berhati-hati dalam bekerja, karena sekarang banyak persaingan yang tidak sehat."
"Aku kangen banget karo kowe, mugo-mugo wae kowe yo kangen karo aku lan enggal ketemu.","Saya kangen banget sama kamu, semoga saja kamu juga kangen sama saya dan segera bertemu."
Mugi-mugi dinten punika pinaringan kaberkahan lan kelancaran saking Gusti Allah SWT. Semangat!,Semoga hari ini diberikan keberkahan dan kelancaran dari Tuhan Allah SWT. Semangat!
"Nek wes sukses ojo lali karo kanca lawas sing biyen tau berjuang bareng, kuwi penting banget.","Kalau sudah sukses jangan lupakan teman lama yang dulu pernah berjuang bersama, itu penting banget."
"Sumangga dipun aturi dhahar siang rumiyin, mboten sah isin-isin lan dipun raosaken masakanipun. Mugi-mugi cocok kaliyan selera.","Silakan dipersilakan makan siang dulu, tidak usah malu-malu dan dicicipi masakannya. Semoga cocok dengan selera."
Aku nyuwun pangapunten yen ono salah lan luput marang sliramu. Mugi-mugi sliramu gelem ngapurani aku.,Saya meminta maaf jika ada salah dan khilaf kepada dirimu. Semoga kamu bersedia memaafkan saya.
"Yen wes kadung janji yo kudu ditepati, ojo nganti ngapusi lan nguciwani wong liyo.","Jika sudah terlanjur janji ya harus ditepati, jangan sampai berbohong dan mengecewakan orang lain."
