javanese,indonesian
Sesuk aku arep lunga menyang Surabaya numpak sepur.,Besok saya akan pergi ke Surabaya naik kereta.
"Panjenengan kedah ngatos-atos menawi mlampah ingkang dangu, supados sampun ngantos kesel.","Anda harus berhati-hati jika berjalan terlalu lama, supaya tidak kelelahan."
Aku wingi tuku buku ing toko buku cedhak omahku. Bukune apik banget lan regane murah.,Saya kemarin membeli buku di toko buku dekat rumah saya. Bukunya bagus sekali dan harganya murah.
"Menawi ngersakaken, mangga dipununjuk unjukanipun, mboten usah sungkan.","Jika berkenan, silakan diminum minumannya, tidak usah sungkan."
Bapak lagi maca koran ing teras omah. Korae nyritakake babagan pemilihan umum.,Ayah sedang membaca koran di teras rumah. Koran itu menceritakan tentang pemilihan umum.
"Panjenengan sampun dhahar, Ibu? Menawi dereng, kula aturi dhahar sareng.","Anda sudah makan, Ibu? Jika belum, saya persilakan makan bersama."
Dhek biyen aku kerep dolan nang pantai kuwi. Saiki wis ora tau merga adoh.,Dulu saya sering bermain ke pantai itu. Sekarang sudah tidak pernah karena jauh.
Kersaa panjenengan mampir dhateng gubug kula ingkang prasaja menika.,Sudilah kiranya anda mampir ke gubuk saya yang sederhana ini.
Simbahe lagi ngombe teh anget karo mangan gorengan. Gorengane digawe dhewe karo ibu.,Kakek sedang minum teh hangat sambil makan gorengan. Gorengannya dibuat sendiri oleh ibu.
"Saderengipun tindak, sumangga dipun siapaken rumiyin sedaya perlunipun.","Sebelum berangkat, mari dipersiapkan terlebih dahulu semua keperluannya."
Aku arep tuku klambi anyar kanggo lebaran sesuk. Muga-muga wae aku bisa nemu klambi sing apik.,Saya mau membeli baju baru untuk lebaran besok. Semoga saja saya bisa menemukan baju yang bagus.
Panjenengan mboten kersa tindak kaliyan kula? Kula ajeng sowan dhateng dalemipun eyang.,Anda tidak mau pergi dengan saya? Saya mau berkunjung ke rumahnya kakek.
Dhik wingi aku weruh kucing kesasar ing dalan. Aku banjur nggawa mulih lan tak pakani.,Kemarin saya melihat kucing tersesat di jalan. Saya lalu membawanya pulang dan saya beri makan.
"Sumangga dipun raosaken rumiyin masakan punika, mugi-mugi panjenengan remen.","Silakan dicicipi dulu masakan ini, semoga anda suka."
Bapak ngakon aku ngumbah motor. Motore wis reged banget merga wis suwe ora diumbah.,Ayah menyuruh saya mencuci motor. Motornya sudah kotor sekali karena sudah lama tidak dicuci.
"Menawi sampun rampung anggenipun sinau, sumangga dipun istirahataken rumiyin.","Jika sudah selesai belajarnya, silakan diistirahatkan dulu."
Aku pengen lunga menyang gunung Bromo. Pemandhangane mesthi apik banget.,Saya ingin pergi ke gunung Bromo. Pemandangannya pasti bagus sekali.
"Kula ngaturaken sugeng ambal warsa, mugi tansah pinaringan kaberkahan.","Saya mengucapkan selamat ulang tahun, semoga selalu diberikan keberkahan."
Simbahe ngendika yen urip kuwi kudu sabar lan narima. Kabeh wis ana dalane dhewe-dhewe.,Kakek berkata bahwa hidup itu harus sabar dan menerima. Semua sudah ada jalannya masing-masing.
"Saderengipun wangsul, kula nyuwun pamit rumiyin, matur nuwun sanget.","Sebelum pulang, saya mohon pamit dulu, terima kasih banyak."
Sesuk arep ana kerja bakti resik-resik kampung. Aku kudu melu supaya kampungku resik.,Besok akan ada kerja bakti membersihkan kampung. Saya harus ikut supaya kampungku bersih.
Panjenengan sampun ngertos bilih benjing wonten pengaosan ing masjid ageng?,Anda sudah tahu bahwa besok ada pengajian di masjid agung?
Dhek semana aku ketemu kanca lawas ing dalan. Wis suwe banget ora ketemu.,Waktu itu saya bertemu teman lama di jalan. Sudah lama sekali tidak bertemu.
"Sumangga dipun dhahar sekul gorengipun, mugi-mugi cocog kaliyan selera panjenengan.","Silakan disantap nasi gorengnya, semoga cocok dengan selera anda."
Bapak lagi nyambut gawe ing sawah. Saiki lagi musim tandur.,Ayah sedang bekerja di sawah. Sekarang sedang musim tanam.
"Menawi panjenengan kersa, kula saget ngaturaken unjukan menapa kemawon.","Jika anda berkenan, saya bisa menawarkan minuman apa saja."
Aku pengen banget bisa lunga menyang Mekah. Muga-muga wae bisa kelakon.,Saya ingin sekali bisa pergi ke Mekah. Semoga saja bisa terwujud.
"Kula ngaturaken sugeng enjing, mugi dinten punika pinaringan berkah.","Saya mengucapkan selamat pagi, semoga hari ini diberikan berkah."
Simbahe mesthi ngandhani supaya aja lali ndedonga. Ndedonga kuwi penting kanggo ngadhepi urip.,Kakek selalu berpesan supaya jangan lupa berdoa. Berdoa itu penting untuk menghadapi hidup.
"Saderengipun sare, sumangga dipun waos rumiyin donga supados dipun paringi pangayoman.","Sebelum tidur, mari dibaca dulu doa supaya diberikan perlindungan."
Aku arep nyambut gawe sing sregep supaya bisa nyukupi kebutuhan kaluwarga.,Saya akan bekerja yang rajin supaya bisa mencukupi kebutuhan keluarga.
Panjenengan sampun mirsani menawi wonten pawartos babagan lindhu ing tlatah kidul?,Anda sudah melihat bahwa ada berita tentang gempa di wilayah selatan?
Wingi aku ngewangi ibuku masak ing pawon. Masake sega goreng kanggo sarapan.,Kemarin saya membantu ibuku memasak di dapur. Memasak nasi goreng untuk sarapan.
"Sumangga dipun tindakaken menawi sampun siyap, mboten usah kesesa-sesa.","Silakan dilaksanakan jika sudah siap, tidak usah terburu-buru."
Bapak ngakon aku ngati-ati yen numpak motor. Dalane rame lan akeh kendaraan.,Ayah menyuruh saya berhati-hati jika naik motor. Jalannya ramai dan banyak kendaraan.
"Menawi panjenengan kersa ngunjuk kopi, kula badhe ndamelaken sak gelas.","Jika anda ingin minum kopi, saya akan membuatkan segelas."
Aku pengen bisa lunga menyang Jepang. Negara kuwi apik banget lan budayane unik.,Saya ingin bisa pergi ke Jepang. Negara itu bagus sekali dan budayanya unik.
"Kula ngaturaken sugeng sonten, mugi panjenengan tansah bagas waras.","Saya mengucapkan selamat sore, semoga anda selalu sehat walafiat."
Simbahe ngendika yen urip kuwi kudu jujur lan apa anane. Aja ngapusi wong liya.,Kakek berkata bahwa hidup itu harus jujur dan apa adanya. Jangan menipu orang lain.
"Saderengipun miwiti, sumangga sesarengan ngucap bismillah supados dipun lancaraken.","Sebelum memulai, mari bersama-sama mengucapkan bismillah supaya dilancarkan."
Sesuk arep ana lomba nggambar ing sekolah. Aku kudu latihan nggambar supaya bisa menang.,Besok akan ada lomba menggambar di sekolah. Saya harus latihan menggambar supaya bisa menang.
"Panjenengan kedah ngatos-atos anggenipun ngendikan, supados mboten damel serik manahipun tiyang sanes.","Anda harus berhati-hati dalam berbicara, supaya tidak membuat sakit hati orang lain."
Dhik kae aku ketemu kanca cilikku ing pasar. Saiki wis dadi wong gedhe lan sukses.,Kemarin saya bertemu teman kecilku di pasar. Sekarang sudah menjadi orang dewasa dan sukses.
"Sumangga dipun suguhaken menapa wonten ingkang kirang, mboten usah sungkan-sungkan.","Silakan dihidangkan apa ada yang kurang, tidak usah sungkan-sungkan."
Bapak ngakon aku sinau sing sregep. Sinau kuwi penting kanggo masa depan.,Ayah menyuruh saya belajar yang rajin. Belajar itu penting untuk masa depan.
