javanese,indonesian
"Saiki jamane serba digital, kabeh sarwa gampang yen ngerti carane.","Sekarang zamannya serba digital, semua serba mudah jika tahu caranya."
"Simbahe loro tipes, mula kudu dirawat ing rumah sakit.","Kakeknya sakit tipes, makanya harus dirawat di rumah sakit."
Simbah putri nembe rawuh saka Surabaya nitih sepur.,Nenek baru datang dari Surabaya naik kereta api.
Kula nggih kaget menawi panjenengan sampun lulus kuliah.,Saya juga kaget kalau anda sudah lulus kuliah.
"Menawi dalemipun tebih, saenipun nitih kendaraan mawon.","Kalau rumahnya jauh, sebaiknya naik kendaraan saja."
"Pengen tuku klambi anyar nggo lebaran, tapi durung ana rejeki.","Ingin beli baju baru buat lebaran, tapi belum ada rejeki."
"Ealah, jebul kowe tho sing menang lomba nembang wingi.","Oalah, ternyata kamu toh yang menang lomba menyanyi kemarin."
"Nyuwun sewu, kula badhe taken, margi dhateng alun-alun punika lewat pundi nggih?","Permisi, saya mau bertanya, jalan ke alun-alun itu lewat mana ya?"
"Sampun dangu mboten pinanggih, pripun kabare sakmenika?","Sudah lama tidak bertemu, bagaimana kabarnya sekarang?"
"Monggo dipununjuk rumiyin wedangipun, mumpung taksih anget.","Silakan diminum dulu minumannya, selagi masih hangat."
Aku ora sida budhal merga ora ana sing ngancani.,Saya tidak jadi berangkat karena tidak ada yang menemani.
Nek arep sukses kuwi kudu sregep sinau lan aja gampang nyerah.,Kalau mau sukses itu harus rajin belajar dan jangan mudah menyerah.
"Kula sampun matur kalih bapak, bilih panjenengan badhe rawuh sonten punika.","Saya sudah bilang ke bapak, bahwa anda akan datang sore ini."
Pripun caranipun damel tape ketan ingkang sae punika?,Bagaimana caranya membuat tape ketan yang enak itu?
"Wingi ana kabar yen rega bensin mundhak, dadi kudu ngirit.","Kemarin ada kabar kalau harga bensin naik, jadi harus hemat."
"Senajan udan deres, tetep kudu mangkat kerja supaya ora kena potong gaji.","Meskipun hujan deras, tetap harus berangkat kerja supaya tidak kena potong gaji."
"Kula ajeng sowan dhateng dalemipun simbah, nyuwun pangestu.","Saya mau berkunjung ke rumahnya kakek, minta restu."
"Mangga dipun raosaken masakanipun, menawi wonten kirangipun, dipun ngapunten.","Silakan dicicipi masakannya, kalau ada kurangnya, mohon dimaafkan."
"Nek arep tuku sega kucing, aja lali sambele sing pedhes.","Kalau mau beli nasi kucing, jangan lupa sambalnya yang pedas."
Aja lali ngombe vitamin supaya awake tetep sehat lan kuat.,Jangan lupa minum vitamin supaya badannya tetap sehat dan kuat.
"Kula badhe nyuwun pirsa, menapa leres wonten pelatihan gratis ingkang dipunadani pamarentah?","Saya mau bertanya, apakah benar ada pelatihan gratis yang diadakan pemerintah?"
"Pancen angel golek kanca sing tenanan, ora mung pas butuh wae.","Memang sulit mencari teman yang sebenarnya, tidak hanya pas butuh saja."
Aku kudu sinau sing sregep supaya bisa entuk biji sing apik.,Saya harus belajar yang rajin supaya bisa mendapat nilai yang bagus.
Mugi-mugi panjenengan tansah pinaringan kesehatan lan rejeki ingkang lancar.,Semoga anda selalu diberikan kesehatan dan rejeki yang lancar.
"Menawi wonten wekdal, kula ajeng dolan dhateng griyanipun panjenengan.","Kalau ada waktu, saya mau berkunjung ke rumah anda."
"Nek arep lunga adoh, aja lali pamit karo wong tuwa.","Kalau mau pergi jauh, jangan lupa pamit sama orang tua."
"Aja lali salat, ngaji, lan ngabekti marang wong tuwa.","Jangan lupa sholat, mengaji, dan berbakti kepada orang tua."
Kula kepengin dados tiyang ingkang migunani tumrap sesami.,Saya ingin menjadi orang yang berguna bagi sesama.
"Mangga dipun aturi, menawi wonten ingkang kirang nuju prana.","Silakan dinikmati, apabila ada yang kurang berkenan."
"Nek arep tuku jajan, aja lali nggawa tas dhewe supaya ora nambah sampah plastik.","Kalau mau beli jajan, jangan lupa bawa tas sendiri supaya tidak menambah sampah plastik."
"Aja lali ngewangi wong tuwa, sanajan mung sethithik.","Jangan lupa membantu orang tua, meskipun hanya sedikit."
"Kula badhe nyuwun gampil, menapa panjenengan kagungan wekdal kangge ngrewangi kula?","Saya mau minta tolong, apakah anda punya waktu untuk membantu saya?"
"Pancen abot urip iki, nanging kudu tetep disyukuri lan dilakoni.","Memang berat hidup ini, tetapi harus tetap disyukuri dan dijalani."
Aku kudu kerja keras supaya bisa nyukupi kebutuhan keluarga.,Saya harus bekerja keras supaya bisa mencukupi kebutuhan keluarga.
Kula nyuwun pangapunten menawi wonten kalepatan ingkang kula sengaja utawi mboten.,Saya mohon maaf apabila ada kesalahan yang saya sengaja maupun tidak.
"Mangga dipun pirsani, menawi wonten barang ingkang dipun remeni.","Silakan dilihat, kalau ada barang yang disukai."
"Nek arep sukses, aja lali karo kanca lan tangga teparo.","Kalau mau sukses, jangan lupa sama teman dan tetangga."
"Aja lali menehi sedekah, sanajan mung sethithik nanging ikhlas.","Jangan lupa memberi sedekah, meskipun hanya sedikit tetapi ikhlas."
"Kula ngaturaken sugeng riyadi, mugi-mugi kita sedaya dipun paringi berkah.","Saya mengucapkan selamat hari raya, semoga kita semua diberikan berkah."
"Menawi sampun rampung, monggo dipun kempalaken malih pirantosipun.","Kalau sudah selesai, silakan dikumpulkan kembali peralatannya."
"Nek arep lunga numpak motor, aja lali nganggo helm lan surat-surat kendaraan.","Kalau mau pergi naik motor, jangan lupa pakai helm dan surat-surat kendaraan."
Aja lali ngombe banyu putih sing akeh supaya ora dehidrasi.,Jangan lupa minum air putih yang banyak supaya tidak dehidrasi.
"Kula badhe tumut ndherek, menawi panjenengan mboten keberatan.","Saya mau ikut, kalau anda tidak keberatan."
"Monggo dipun raosaken, menawi wonten ingkang kirang, saget dipun tambahi.","Silakan dicicipi, kalau ada yang kurang, bisa ditambahi."
"Nek arep tuku panganan, aja lali milih sing sehat lan bergizi.","Kalau mau beli makanan, jangan lupa pilih yang sehat dan bergizi."
Aja lali ngopeni lingkungan supaya tetep resik lan lestari.,Jangan lupa menjaga lingkungan supaya tetap bersih dan lestari.
"Kula ngaturaken agunging panuwun, awit saking sedaya pitulunganipun panjenengan.","Saya mengucapkan banyak terima kasih, atas semua pertolongan anda."
"Menawi wonten kekirangan, kula nyuwun agunging samudra pangaksami.","Apabila ada kekurangan, saya mohon maaf yang sebesar-besarnya."
"Sakniki, jaman wis modern, dadi kudu pinter ngelola wektu lan keuangan.","Sekarang, zaman sudah modern, jadi harus pintar mengelola waktu dan keuangan."
"Ora usah kesusu, sing penting dilakoni kanthi sabar lan teliti.","Tidak usah terburu-buru, yang penting dijalani dengan sabar dan teliti."
