javanese,indonesian
Sesuk aku arep lunga menyang Yogyakarta numpak sepur. Aku arep nginep ing omah kancaku lan dolan ing Malioboro.,Besok saya akan pergi ke Yogyakarta naik kereta api. Saya akan menginap di rumah teman saya dan bermain di Malioboro.
"Kula nyuwun pamit, badhe kondur rumiyin. Matur nuwun sanget sampun kersa nampi rawuh kula.","Saya mohon pamit, hendak pulang dulu. Terima kasih banyak sudah bersedia menerima kedatangan saya."
"Aja lali salat, ngaji, lan ngabekti marang wong tuwa. Iku kabeh kanggo kebecikanmu dhewe.","Jangan lupa sholat, mengaji, dan berbakti kepada orang tua. Itu semua untuk kebaikanmu sendiri."
Mugi-mugi panjenengan tansah pinaringan kesehatan lan rejeki ingkang lancar. Lan mugi-mugi sedaya ingkang dipun kajataken saged kaleksanan.,Semoga anda selalu diberikan kesehatan dan rejeki yang lancar. Dan semoga semua yang dicita-citakan bisa terlaksana.
Nek arep sukses kuwi kudu sregep sinau lan aja gampang nyerah. Semangat terus lan aja nganti kendor.,Kalau mau sukses itu harus rajin belajar dan jangan mudah menyerah. Semangat terus dan jangan sampai kendor.
"Sumangga dipun dhahar rumiyin masakanipun, menawi wonten kirangipun, dipun ngapunten. Kula namung saget masak menika kemawon.","Silakan dicicipi dulu masakannya, kalau ada kurangnya, mohon dimaafkan. Saya hanya bisa memasak ini saja."
Aja lali ngombe vitamin supaya awake tetep sehat lan kuat. Apamaneh saiki lagi musim udan.,Jangan lupa minum vitamin supaya badannya tetap sehat dan kuat. Apalagi sekarang sedang musim hujan.
Pripun caranipun damel tape ketan ingkang sae punika? Kula dereng nate damel tape ketan piyambak.,Bagaimana caranya membuat tape ketan yang enak itu? Saya belum pernah membuat tape ketan sendiri.
"Wingi ana kabar yen rega bensin mundhak, dadi kudu ngirit. Saiki kudu numpak pit wae nek arep lunga cedhak.","Kemarin ada kabar kalau harga bensin naik, jadi harus hemat. Sekarang harus naik sepeda saja kalau mau pergi dekat."
"Kula ajeng sowan dhateng dalemipun simbah, nyuwun pangestu. Bapak lan Ibu ugi titip salam.","Saya mau berkunjung ke rumahnya kakek, minta restu. Bapak dan Ibu juga titip salam."
"Menawi sampun rampung, monggo dipun kempalaken malih pirantosipun. Supados gampil anggenipun ngresiki.","Kalau sudah selesai, silakan dikumpulkan kembali peralatannya. Supaya mudah membersihkannya."
"Nek arep lunga numpak motor, aja lali nganggo helm lan surat-surat kendaraan. Aja nganti kena tilang polisi.","Kalau mau pergi naik motor, jangan lupa pakai helm dan surat-surat kendaraan. Jangan sampai kena tilang polisi."
"Aja lali ngewangi wong tuwa, sanajan mung sethithik. Sing penting ikhlas lan ora ngresula.","Jangan lupa membantu orang tua, meskipun hanya sedikit. Yang penting ikhlas dan tidak mengeluh."
"Aku sapendapat karo kowe, acarane mau pancen kurang gayeng. Muga-muga sesuk bisa luwih apik.","Saya sependapat dengan kamu, acaranya tadi memang kurang meriah. Semoga besok bisa lebih baik."
"Sugeng siyang, Pak. Nyuwun sewu, menawi saged, kula nyuwun dipun paringi wekdal kangge matur perkawis proposal punika.","Selamat siang, Pak. Mohon maaf, jika berkenan, saya mohon diberikan waktu untuk menyampaikan perihal proposal ini."
"Nek nduwe rejeki luwih, aja lali disedekahke. Sedekah kuwi bisa nambahi rejeki lan ngilangke bebaya.","Kalau punya rejeki lebih, jangan lupa disedekahkan. Sedekah itu bisa menambah rejeki dan menghilangkan bahaya."
"Aja kesusu nek nduwe masalah, kudu diselesaiake kanthi tenang lan pikiran sing jernih. Aja nganti emosi.","Jangan terburu-buru kalau punya masalah, harus diselesaikan dengan tenang dan pikiran yang jernih. Jangan sampai emosi."
"Matur nuwun sanget, Bu. Kula sampun dipun suguhi unjukan lan dhaharan ingkang sae-sae.","Terima kasih banyak, Bu. Saya sudah disuguhi minuman dan hidangan yang enak-enak."
"Dhek wingi aku ketemu kanca lawas ing dalan. Wis suwe ora ketemu, dadi kangen banget.","Kemarin saya bertemu teman lama di jalan. Sudah lama tidak bertemu, jadi kangen banget."
"Pancen abot urip iki, nanging kudu tetep disyukuri lan dilakoni kanthi ikhlas. Gusti Allah mesthi bakal paring dalan.","Memang berat hidup ini, tetapi harus tetap disyukuri dan dijalani dengan ikhlas. Tuhan Allah pasti akan memberi jalan."
"Sesuk arep ana lomba nggambar ing sekolah. Mula saka kuwi, aku kudu latihan nggambar kanthi sregep.","Besok akan ada lomba menggambar di sekolah. Oleh karena itu, saya harus latihan menggambar dengan rajin."
Aku nyuwun pangapunten sanget menawi wonten kalepatan ingkang kula sengaja utawi mboten. Mugi panjenengan kersa ngapura.,Saya mohon maaf sekali apabila ada kesalahan yang saya sengaja maupun tidak. Semoga anda bersedia memaafkan.
Muga-muga kaluwarga panjenengan tansah pinaringan katentreman lan kabagyan. Sarta tansah dipun lindungi dening Gusti Allah.,Semoga keluarga anda selalu diberikan ketentraman dan kebahagiaan. Serta selalu dilindungi oleh Tuhan Allah.
"Nek arep tuku panganan, aja lali milih sing sehat lan bergizi. Aja nganti lali karo kesehatan awake dhewe.","Kalau mau beli makanan, jangan lupa pilih yang sehat dan bergizi. Jangan sampai lupa dengan kesehatan diri sendiri."
"Kula kepengin dados tiyang ingkang migunani tumrap sesami. Mula saka kuwi, kula kudu sinau kanthi temen.","Saya ingin menjadi orang yang berguna bagi sesama. Oleh karena itu, saya harus belajar dengan sungguh-sungguh."
"Matur nuwun Gusti, kanggo sedaya kanugrahan ingkang sampun dipunparingaken dhumateng kula. Mugi kula tansah saged ngluberaken dhateng sesami.","Terima kasih Tuhan, atas semua anugerah yang telah diberikan kepada saya. Semoga saya selalu bisa menyebarkan kepada sesama."
"Menawi wonten wekdal, kula ajeng dolan dhateng griyanipun panjenengan. Kula sampun dangu mboten sowan.","Kalau ada waktu, saya mau berkunjung ke rumah anda. Saya sudah lama tidak bersilaturahmi."
Aja lali tansah eling marang Gusti Allah. Kabeh sing ana ing ndonya iki mung titipan.,Jangan lupa selalu ingat kepada Tuhan Allah. Semua yang ada di dunia ini hanya titipan.
Sesuk arep ana kerja bakti resik-resik kampung. Aku kudu melu supaya kampunge katon resik lan sehat.,Besok akan ada kerja bakti membersihkan kampung. Saya harus ikut supaya kampungnya terlihat bersih dan sehat.
"Pangapunten, menawi kula ngrepotaken panjenengan. Kula namung badhe nyuwun pirsa babagan tugas punika.","Maaf, jika saya merepotkan anda. Saya hanya mau bertanya tentang tugas ini."
"Nek arep lunga adoh, aja lali pamit karo wong tuwa. Supaya didongakake lan dilancarke anggone lelungan.","Kalau mau pergi jauh, jangan lupa pamit dengan orang tua. Supaya didoakan dan dilancarkan perjalanannya."
"Kula ngaturaken sugeng riyadi Idul Fitri, nyuwun ngapura lair lan batin. Mugi-mugi sedaya dosa kita dipun ngapura.","Saya mengucapkan selamat hari raya Idul Fitri, mohon maaf lahir dan batin. Semoga semua dosa kita diampuni."
Aja dadi wong sing sombong lan adigang adigung adiguna. Sing eling kabeh kuwi mung titipan saka Gusti Allah.,Jangan jadi orang yang sombong dan merasa paling berkuasa. Ingatlah semua itu hanya titipan dari Tuhan Allah.
"Sumangga dipun aturi, menawi wonten ingkang kirang nuju prana. Kula namung saget nyuguhi kanthi prasaja.","Silakan dinikmati, apabila ada yang kurang berkenan. Saya hanya bisa menjamu dengan sederhana."
"Menawi panjenengan badhe mlampah, kedah ngatos-atos. Margi punika rame sanget lan akeh kendharaan.","Jika anda hendak berjalan, harus berhati-hati. Jalan ini ramai sekali dan banyak kendaraan."
Simbah mesthi ngandhani supaya aja lali ndedonga. Donga kuwi kekuwatan kanggo ngadhepi urip.,Kakek selalu berpesan supaya jangan lupa berdoa. Doa itu kekuatan untuk menghadapi hidup.
"Saderengipun sare, sumangga dipun waos rumiyin donga supados dipun paringi pangayoman lan dipun tebihaken saking bebaya.","Sebelum tidur, mari dibaca dulu doa supaya diberikan perlindungan dan dijauhkan dari bahaya."
Aku arep nyambut gawe sing sregep supaya bisa nyukupi kebutuhan kaluwarga lan ngangkat drajate wong tuwa.,Saya akan bekerja yang rajin supaya bisa mencukupi kebutuhan keluarga dan mengangkat derajat orang tua.
Panjenengan sampun mireng kabar menawi benjing wonten pengajian akbar ing masjid ageng? Kula ugi badhe ndherek.,Anda sudah mendengar kabar bahwa besok ada pengajian akbar di masjid agung? Saya juga mau ikut.
"Dhik kae aku ketemu kanca cilikku ing pasar. Saiki wis dadi wong gedhe lan sukses, nanging tetep prasaja.","Kemarin saya bertemu teman kecilku di pasar. Sekarang sudah menjadi orang dewasa dan sukses, tetapi tetap sederhana."
"Sumangga dipun dhahar sekul gorengipun, mugi-mugi cocog kaliyan selera panjenengan. Punika kula masakaken piyambak.","Silakan disantap nasi gorengnya, semoga cocok dengan selera anda. Ini saya masak sendiri."
Bapak ngakon aku ngati-ati yen numpak motor. Dalane lunyu merga lagi udan deres.,Ayah menyuruh saya berhati-hati jika naik motor. Jalannya licin karena sedang hujan deras.
"Menawi panjenengan kersa ngunjuk kopi, kula badhe ndamelaken sak gelas. Punika kopi asli saking kampung kula.","Jika anda ingin minum kopi, saya akan membuatkan segelas. Ini kopi asli dari kampung saya."
Aku pengen bisa lunga menyang Mekah lan Madinah. Muga-muga wae bisa kelakon lan saged ngibadah kanthi khusyuk.,Saya ingin sekali bisa pergi ke Mekah dan Madinah. Semoga saja bisa terwujud dan dapat beribadah dengan khusyuk.
"Kula ngaturaken sugeng enjing, mugi dinten punika pinaringan berkah lan kalancaran ing sedaya urusan.","Saya mengucapkan selamat pagi, semoga hari ini diberikan berkah dan kelancaran dalam semua urusan."
Simbahe mesthi ngandhani supaya aja lali ndedonga lan ngaji. Kuwi penting kanggo nyucike ati lan pikiran.,Kakek selalu berpesan supaya jangan lupa berdoa dan mengaji. Itu penting untuk menyucikan hati dan pikiran.
"Saderengipun miwiti, sumangga sesarengan ngucap bismillah supados dipun lancaraken lan dipun paringi ridho dening Gusti Allah.","Sebelum memulai, mari bersama-sama mengucapkan bismillah supaya dilancarkan dan diberikan ridho oleh Tuhan Allah."
"Sesuk arep ana pemilihan ketua kelas ing sekolah. Mula saka kuwi, aku kudu kampanye kanthi apik supaya dipilih.","Besok akan ada pemilihan ketua kelas di sekolah. Oleh karena itu, saya harus kampanye dengan baik supaya dipilih."
"Panjenengan kedah ngatos-atos anggenipun ngendikan, supados mboten damel serik manahipun tiyang sanes. Ugi kedah sopan lan santun.","Anda harus berhati-hati dalam berbicara, supaya tidak membuat sakit hati orang lain. Juga harus sopan dan santun."
"Dhek kae aku ketemu guru SD-ku ing mall. Saiki wis pensiun, nanging tetep sehat lan semangat.","Waktu itu saya bertemu guru SD-ku di mall. Sekarang sudah pensiun, tetapi tetap sehat dan semangat."
