javanese,indonesian
"Aku ora ngerti kudu menyang ngendi, kabeh katon padha.","Aku tidak tahu harus pergi ke mana, semuanya terlihat sama."
"Bapak tindak kantor numpak sepur, saben dina kaya ngono.","Bapak pergi ke kantor naik kereta, setiap hari seperti itu."
"Yen arep teka, kandhani dhisik ya, ben aku isa nyiapke.","Kalau mau datang, beritahu dulu ya, biar aku bisa menyiapkan."
Piye carane ngatasi masalah iki? Aku wis bingung banget.,Bagaimana caranya mengatasi masalah ini? Aku sudah bingung sekali.
"Sampun suwé mboten pinanggih, kados pundi kabaripun sakmenika?","Sudah lama tidak bertemu, bagaimana kabarnya sekarang?"
"Menawi wonten wekdal longgar, mangga pinarak ing gubuk kula.","Jika ada waktu luang, silakan mampir di gubuk saya."
Kepiye yen awake dhewe lunga piknik sesuk? Aku wis kangen banget.,Bagaimana kalau kita pergi piknik besok? Aku sudah kangen banget.
"Eyang kakung ngendika, urip kuwi kudu sabar lan narima.","Kakek berkata, hidup itu harus sabar dan menerima."
"Kowe wis mangan durung? Yen durung, ayo tak masakne sega goreng.","Kamu sudah makan belum? Kalau belum, ayo kubuatkan nasi goreng."
"Aku arep ngrewangi ibuku resik-resik omah, wis suwe ora diresiki.","Aku mau membantu ibuku bersih-bersih rumah, sudah lama tidak dibersihkan."
Mugi-mugi sedoyo ingkang dipun kajataken saged enggal kaleksanan.,Semoga semua yang dicita-citakan bisa segera terlaksana.
"Nek numpak motor, aja lali nganggo helm, kuwi penting kanggo keselamatan.","Kalau naik motor, jangan lupa memakai helm, itu penting untuk keselamatan."
"Sesuk aku arep lunga menyang Surabaya, arep niliki simbah sing lagi lara.","Besok aku mau pergi ke Surabaya, mau menjenguk kakek yang sedang sakit."
Piye yen aku njaluk tulung kowe? Aku ora ngerti carane nggarap iki.,Bagaimana kalau aku minta tolong kamu? Aku tidak tahu caranya mengerjakan ini.
"Yen kowe ora gelem, ya wis ora apa-apa. Aku ora bakal meksa kowe.","Kalau kamu tidak mau, ya sudah tidak apa-apa. Aku tidak akan memaksa kamu."
"Saiki aku lagi sinau basa Inggris, muga-muga cepet lancar.","Sekarang aku sedang belajar bahasa Inggris, semoga cepat lancar."
"Menawi sampun rampung, mangga dipun tata malih saengga katingal sae lan resik.","Jika sudah selesai, silakan ditata kembali sehingga terlihat bagus dan bersih."
"Aku wis ngenteni kowe suwe banget, nanging kowe ora teka-teka.","Aku sudah menunggu kamu lama sekali, tetapi kamu tidak datang-datang."
"Kowe kudu semangat nyambut gawe, ben iso nyukupi kebutuhan keluarga.","Kamu harus semangat bekerja, biar bisa mencukupi kebutuhan keluarga."
Mugo-mugo gusti Allah tansah paring rahmat lan hidayah dumateng kita sedoyo.,Semoga Tuhan Allah selalu memberikan rahmat dan hidayah kepada kita semua.
"Aku ora percaya karo omonganmu, amarga kowe wis bola-bali ngapusi aku.","Aku tidak percaya dengan ucapanmu, karena kamu sudah berkali-kali berbohong padaku."
"Bapak lan Ibu rawuh saking Jakarta wingi sore, nitih pesawat Garuda.","Bapak dan Ibu datang dari Jakarta kemarin sore, naik pesawat Garuda."
"Menawi badhe medal saking griya, sampun kesupen ngunci kori rumiyin.","Jika akan keluar dari rumah, jangan lupa mengunci pintu terlebih dahulu."
Kepriye yen awake dhewe lunga menyang gunung Bromo? Pemandangane mesthi apik banget.,Bagaimana kalau kita pergi ke gunung Bromo? Pemandangannya pasti bagus sekali.
"Eyang putri ngendika, urip kuwi kudu tansah eling marang Gusti Allah.","Nenek berkata, hidup itu harus selalu ingat kepada Tuhan Allah."
"Yen arep lunga adoh, aja lali pamit marang wong tuwa, ben selamet ing dalan.","Kalau mau pergi jauh, jangan lupa pamit kepada orang tua, biar selamat di jalan."
"Aku arep masak sega goreng kanggo sarapan sesuk isuk, kowe gelem melu?","Aku mau memasak nasi goreng untuk sarapan besok pagi, kamu mau ikut?"
Kula nyuwun pangapunten menawi wonten atur kula ingkang kirang mranani penggalih panjenengan.,Saya mohon maaf jika ada perkataan saya yang kurang berkenan di hati anda.
