javanese,indonesian
"Aku wingi tuku buku anyar ning toko cedhak omah. Bukune apik banget isine, lan regane yo murah.","Saya kemarin membeli buku baru di toko dekat rumah. Bukunya bagus sekali isinya, dan harganya juga murah."
"Menawi panjenengan sampun siap, sumangga kita wiwiti rapatipun sakmenika. Monggo.","Jika Anda sudah siap, mari kita mulai rapatnya sekarang. Silakan."
"Nak, ojo lali ngabekti marang wong tuwa. Ridhone wong tuwa kuwi ridhone Gusti Allah.","Nak, jangan lupa berbakti kepada orang tua. Ridho orang tua itu ridho Tuhan Allah."
"Pengine lunga menyang Bali, nanging opo yo nduwe duwit sesuk?","Inginnya pergi ke Bali, tapi apakah ya punya uang besok?"
"Mugi-mugi panjenengan tansah pinaringan kasarasan, katentreman, lan rejeki ingkang barokah.","Semoga Anda selalu diberikan kesehatan, ketentraman, dan rejeki yang barokah."
Aku kudu sinau sing sregep ben iso lulus ujian lan entuk nilai apik. Sesuk kudu kerja keras.,Saya harus belajar yang rajin agar bisa lulus ujian dan mendapat nilai bagus. Besok harus kerja keras.
"Yen arep tuku janganan, ojo lali ditawar regane, ben ora kemahalen. Pinter-pinter nawar ya.","Kalau mau beli sayuran, jangan lupa ditawar harganya, biar tidak kemahalan. Pintar-pintar menawar ya."
"Nek wis gedhe ojo lali marang kanca, amarga kanca kuwi luwih penting tinimbang pacar.","Kalau sudah besar jangan lupakan teman, karena teman itu lebih penting daripada pacar."
Mugi-mugi sedaya ingkang dipun kajataken saged kaleksanan kanthi lancar lan dipun ridhoi Gusti Allah.,Semoga semua yang dicita-citakan bisa terlaksana dengan lancar dan diridhoi Tuhan Allah.
"Sesuk arep lunga menyang Surabaya numpak sepur, muga-muga perjalananku lancar lan slamet.","Besok akan pergi ke Surabaya naik kereta, semoga perjalananku lancar dan selamat."
"Mau ngombe kopi opo teh? Nek kopi, aku arep nggaweke kopi tubruk sing legi.","Mau minum kopi atau teh? Kalau kopi, saya mau membuatkan kopi tubruk yang manis."
Kulo nyuwun pangapunten sedanten kalepatan. Mugi-mugi panjenengan saged ngapunteni.,Saya mohon maaf atas semua kesalahan. Semoga anda bisa memaafkan.
"Sakniki jaman wis maju, dadi kudu pinter nggunakake teknologi kanggo nggampangake urip.","Sekarang zaman sudah maju, jadi harus pintar menggunakan teknologi untuk mempermudah hidup."
"Tulung tulisen layang iki banjur dikirim menyang alamat iki yo, maturnuwun.","Tolong tulis surat ini kemudian dikirim ke alamat ini ya, terima kasih."
Kula sampun siap nglaksanakaken tugas ingkang sampun dipunparingaken. Mugi saged kasil sae.,Saya sudah siap melaksanakan tugas yang sudah diberikan. Semoga bisa berhasil baik.
"Saiki wis wayahe ngaso, ayo padha ngombe kopi lan nyemil roti ben tetep semangat nyambut gawe.","Sekarang sudah waktunya istirahat, ayo sama-sama minum kopi dan ngemil roti biar tetap semangat bekerja."
"Nak, yen arep sukses, kudu sregep nyambut gawe lan ojo lali ngabekti marang wong tuwa, ngono kuwi.","Nak, kalau mau sukses, harus rajin bekerja dan jangan lupa berbakti kepada orang tua, seperti itu."
"Pengine lunga menyang pantai, nanging banyune kok lagi pasang yo? Dadi ora iso nglangi.","Inginnya pergi ke pantai, tapi airnya kok sedang pasang ya? Jadi tidak bisa berenang."
Mugi-mugi panjenengan sedoyo tansah pinaringan kaberkahan lan rahmat saking Gusti Allah SWT.,Semoga anda semua selalu diberikan keberkahan dan rahmat dari Tuhan Allah SWT.
"Dhik kae aku weruh kowe ing dalan, kok ora nyapo marang aku? Apa kowe ora kenal karo aku?","Kemarin saya melihat kamu di jalan, kok tidak menyapa kepada saya? Apa kamu tidak kenal sama saya?"
Kula badhe nyuwun pamit amargi sampun dumugi wekdalipun. Mugi saged pinanggih malih ing sanes wekdal.,Saya mohon pamit karena sudah tiba waktunya. Semoga bisa bertemu lagi di lain waktu.
"Pengen mangan sego pecel, nanging kok ora ono sing dodol ning cedhak kene yo? Bingung aku.","Ingin makan nasi pecel, tapi kok tidak ada yang menjual di dekat sini ya? Bingung saya."
"Menawi sowan ing dalemipun tiyang sepuh, dipun aturaken salam lan dipun sungkem supados pikantuk berkah.","Kalau berkunjung ke rumahnya orang tua, dihaturkan salam dan disunggkem supaya mendapat berkah."
"Aja nganti lali marang Gusti Allah, amarga urip iki mung sawetara lan kabeh iku asale saka panjenengane.","Jangan sampai lupa kepada Tuhan Allah, karena hidup ini hanya sementara dan semua itu asalnya dari-Nya."
"Saiki wis wayahe budhal menyang kantor, muga-muga dalane lancar lan ora ana macet ing dalan.","Sekarang sudah waktunya berangkat ke kantor, semoga jalannya lancar dan tidak ada macet di jalan."
"Tulung resiki omah iki ya, amarga aku arep lunga menyang Jakarta dina sesuk.","Tolong bersihkan rumah ini ya, karena saya akan pergi ke Jakarta esok hari."
"Menawi sampun rampung dipunpundhut, dipun suwun resik-resik supados sae. Mboten enten ingkang kotor.","Ketika selesai dipergunakan, mohon dirapikan supaya bersih. Tidak ada yang kotor."
Pangestuhipun simbah tansah ngiringi langkah kulo. Sedoyo ndonga dipun kabulaken gusti Allah.,Restu kakek selalu mengiringi langkah saya. Semua doa dikabulkan gusti Allah.
"Nak, arepo kowe pinter lan sugih, aja dadi wong sing sombong, kudu andhap asor lan ngajeni wong liya.","Nak, meskipun kamu pintar dan kaya, jangan jadi orang yang sombong, harus rendah hati dan menghargai orang lain."
"Wingi kulo sowan dateng griyanipun rencang, wonten hajatan lan rame sanget.","Kemarin saya berkunjung ke rumah teman, ada hajatan dan ramai sekali."
"Arep masak opo saiki? Engko nek bingung arep masak opo, pesen online wae yo.","Mau masak apa sekarang? Nanti kalau bingung mau masak apa, pesan online saja ya."
"Sumangga dipun raosaken unjukipun, mugi-mugi saged nambahi seger badan lan semangat.","Silakan dicicipi minumannya, semoga bisa menambah segar badan dan semangat."
"Nak, ojo lali karo batur, karo tonggo, amarga urip kuwi ora iso dewekan.","Nak, jangan lupakan teman, dengan tetangga, karena hidup itu tidak bisa sendirian."
"Kula nyuwun pamit, amargi sampun wekdalipun kula kedah kundur. Kula matur nuwun sanget.","Saya mohon pamit, karena sudah waktunya saya harus pulang. Saya berterima kasih sekali."
"Yen ora ana udan, apike yen dolan nang sawah, iso nyawang pemandangan sing ijo royo-royo.","Kalau tidak ada hujan, enaknya kalau bermain ke sawah, bisa melihat pemandangan yang hijau royo-royo."
Mugi-mugi sedaya ingkang kula tindakaken punika saged dados amal jariyah ingkang terus mili pahalane.,Semoga semua yang saya lakukan ini bisa menjadi amal jariyah yang terus mengalir pahalanya.
"Enake yen wayah udan ngene iki ngombe teh anget karo mangan gorengan, pas banget rasane.","Enaknya kalau waktu hujan seperti ini minum teh hangat sambil makan gorengan, pas banget rasanya."
"Bapak ngakon aku sinau sing sregep, amarga yen pinter biso ngangkat drajate keluarga.","Ayah menyuruh saya belajar yang rajin, karena kalau pintar bisa mengangkat derajat keluarga."
"Panjenengan sampun ngertos menawi benjing wonten acara ing balai desa? Menawi mboten sibuk, mangga dipun rawuhi.","Anda sudah tahu bahwa besok ada acara di balai desa? Kalau tidak sibuk, silakan dihadiri."
"Sumangga dipun raosaken masakan punika, mugi-mugi saged ngleremaken weteng ingkang sampun luwe.","Silakan dicicipi masakan ini, semoga bisa menenangkan perut yang sudah lapar."
"Nak, yen arep lunga, aja lali pamit marang wong tuwa supaya diparingi slamet lan berkah.","Nak, kalau mau pergi, jangan lupa pamit kepada orang tua supaya diberi selamat dan berkah."
