javanese,indonesian
"Sesuk yen ora ana udan, aku arep menyang pantai karo kanca-kancaku.","Besok kalau tidak ada hujan, aku mau pergi ke pantai bersama teman-temanku."
"Kula nyuwun pamit rumiyin, amargi sampun wekdalipun kula kedah kondur.","Saya mohon pamit dulu, karena sudah waktunya saya harus pulang."
"Aja lali ngombe obat yen lara, lan aja nganti keri anggone sinau.","Jangan lupa minum obat kalau sakit, dan jangan sampai ketinggalan belajarnya."
Mugi-mugi sedoyo ingkang dipun kajataken saged kaleksanan kanthi lancar lan berkah.,Semoga semua yang dicita-citakan dapat terlaksana dengan lancar dan berkah.
"Piye kabarmu saiki? Uwis suwe ora ketemu, dadi kangen banget.","Bagaimana kabarmu sekarang? Sudah lama tidak bertemu, jadi kangen banget."
Yen pengin sukses kuwi kudu sregep nyambut gawe lan ora gampang putus asa.,Kalau ingin sukses itu harus rajin bekerja dan tidak mudah putus asa.
Simbah ngendika yen urip kuwi kudu prasaja lan tansah syukur marang Gusti Allah.,Kakek berkata bahwa hidup itu harus sederhana dan selalu bersyukur kepada Tuhan Allah.
"Monggo dipununjuk unjukanipun rumiyin, mboten sah isin-isin, nggih.","Silakan diminum minumannya dulu, tidak usah malu-malu, ya."
"Aku mau lungo menyang Surabaya, arep niliki simbah lan dolan menyang Tunjungan Plaza.","Saya mau pergi ke Surabaya, mau menjenguk kakek dan bermain ke Tunjungan Plaza."
Kula ngaturaken agunging panuwun dumateng panjenengan sedoyo ingkang sampun rawuh ing acara punika.,Saya mengucapkan banyak terima kasih kepada anda semua yang sudah datang di acara ini.
"Yen arep numpak motor, ojo lali nganggo helm lan jaket, kuwi kanggo keselamatan awake dhewe.","Kalau mau naik motor, jangan lupa memakai helm dan jaket, itu untuk keselamatan diri sendiri."
"Aja lali marang wong tuwa, amarga wong tuwa kuwi sing wis ngrumat kowe saka cilik nganti gedhe.","Jangan lupa kepada orang tua, karena orang tua itu yang sudah merawat kamu dari kecil hingga besar."
"Sumangga dipun raosaken masakanipun, mugi-mugi saged maremaken penggalih panjenengan sedoyo.","Silakan dicicipi masakannya, semoga bisa memuaskan hati anda semua."
Aku arep nyambut gawe sing sregep supaya bisa nyukupi kebutuhan keluarga lan nglunasake utang.,Saya mau bekerja yang rajin supaya bisa mencukupi kebutuhan keluarga dan melunasi hutang.
"Menawi sampun rampung, monggo dipun resiki sesarengan supados langkung resik lan nyaman dipun pirsani.","Jika sudah selesai, mari dibersihkan bersama-sama supaya lebih bersih dan nyaman dilihat."
"Aku lagi bingung arep tuku hadiah opo kanggo ulang taun e kancaku, ndak kowe nduwe ide?","Saya lagi bingung mau beli hadiah apa untuk ulang tahunnya temanku, mungkin kamu punya ide?"
"Kula sampun matur kalih ibu bilih badhe sowan dateng dalemipun simbah, nyuwun berkah lan pangestu.","Saya sudah bilang ke ibu bahwa akan berkunjung ke rumahnya kakek, meminta berkah dan restu."
"Nek ora ana alangan, sesuk aku arep dolan menyang omahe kowe, wis suwe ora ketemu je.","Kalau tidak ada halangan, besok saya mau main ke rumah kamu, sudah lama tidak bertemu ya."
"Ngati-ati yen nyabrang dalan, akeh kendharaan lan dalane rame, dadi kudu fokus lan waspada.","Hati-hati jika menyeberang jalan, banyak kendaraan dan jalannya ramai, jadi harus fokus dan waspada."
"Aku pengen banget dadi wong sukses, supaya bisa nggapai cita-cita lan mbanggakake wong tuwa.","Saya ingin sekali menjadi orang sukses, supaya bisa meraih cita-cita dan membanggakan orang tua."
"Sumangga dipun suguhaken dhaharan ingkang sampun cumawis, mugi dados tetamu ingkang sae.","Silakan dihidangkan hidangan yang sudah tersedia, semoga menjadi tamu yang baik."
"Kula nyuwun pamit rumiyin, amargi wonten perlu ingkang mboten saged dipuntundha, nyuwun pangapunten.","Saya mohon pamit dulu, karena ada keperluan yang tidak bisa ditunda, mohon maaf."
"Yen arep ngopi, ojo lali gulane, ben ora pahit lan iso dinikmati kanthi marem.","Kalau mau ngopi, jangan lupa gulanya, biar tidak pahit dan bisa dinikmati dengan puas."
"Saiki aku lagi sinau masak, muga-muga kowe seneng yen aku masak kanggo kowe.","Sekarang saya lagi belajar memasak, semoga kamu senang kalau saya masak untuk kamu."
"Menawi penggalihipun mboten sekeca, sumangga ngendika supados saged dipunrembag sesarengan.","Jika hatinya tidak enak, silakan berbicara supaya bisa dibicarakan bersama."
"Aku seneng yen iso ngewangi wong liya, rasane atiku ayem lan tentrem.","Saya senang kalau bisa membantu orang lain, rasanya hatiku ayem dan tentram."
"Tulung omongake marang ibumu, aku wis rampung ngumbahi klambi, lan saiki arep nyetrika.","Tolong katakan kepada ibumu, aku sudah selesai mencuci baju, dan sekarang mau menyetrika."
"Mugo-mugo rezekiku lancar, ben iso nraktir kanca-kanca ing warung makan padang.","Semoga rejekiku lancar, biar bisa mentraktir teman-teman di warung makan padang."
"Nek ora ana tugas, aku arep turu awan, ngantuk banget rasane awak iki.","Kalau tidak ada tugas, saya mau tidur siang, mengantuk banget rasanya badan ini."
"Aku bingung arep milih jurusan opo yen lulus sekolah mengko, njaluk saran e ya.","Saya bingung mau memilih jurusan apa kalau lulus sekolah nanti, minta sarannya ya."
"Menawi sampun dumugi ing griya, sampun kesupen ngaturaken salam dumateng tiyang sepuh.","Jika sudah sampai di rumah, jangan lupa menyampaikan salam kepada orang tua."
"Kula mboten saget tumut amargi kedah ngancani ibu dhateng peken, nyuwun pangapunten nggih.","Saya tidak bisa ikut karena harus menemani ibu ke pasar, mohon maaf ya."
"Sesuk yen duwe wektu longgar, aku arep dolan menyang taman kota, ngademke pikir.","Besok kalau punya waktu luang, saya mau bermain ke taman kota, mendinginkan pikiran."
"Nak, yen arep dadi wong kang sukses, kudu sregep ngibadah lan ngabekti marang wong tuwa.","Nak, kalau mau menjadi orang yang sukses, harus rajin beribadah dan berbakti kepada orang tua."
"Sumangga dipun lajengaken dhaharipun, ojo sungkan-sungkan, menawi wonten ingkang kirang mangga dipun tambahi.","Silakan dilanjutkan makannya, jangan sungkan-sungkan, kalau ada yang kurang silakan ditambah."
"Kula badhe nyuwun pirsa, menapa leres benjing wonten acara pengajian ing masjid ageng?","Saya mau bertanya, apakah benar besok ada acara pengajian di masjid agung?"
"Yen udan deres, luwih becik ojo lunga-lungo, amarga dalan licin lan akeh bebaya.","Kalau hujan deras, lebih baik jangan pergi-pergi, karena jalan licin dan banyak bahaya."
"Aku kangen karo suasana ing ndeso, sepi, adhem, lan tentrem atiku.","Saya kangen dengan suasana di desa, sepi, dingin, dan tentram hatiku."
"Menawi badhe tindak dhateng Jakarta, langkung prayogi nitih sepur kemawon amargi mboten macet.","Jika akan pergi ke Jakarta, lebih baik naik kereta saja karena tidak macet."
"Ojo nganti lali marang Gusti Allah, amarga kabeh rezeki lan kaberkahan iku saka Gusti Allah.","Jangan sampai lupa kepada Tuhan Allah, karena semua rezeki dan keberkahan itu dari Tuhan Allah."
"Kula nyuwun agunging pangapunten, menawi wonten atur kula ingkang kirang mranani penggalih.","Saya mohon maaf yang sebesar-besarnya, jika ada perkataan saya yang kurang berkenan di hati."
"Mugo-mugo sesuk ujian lancar lan bijiku apik, supaya wong tuwaku seneng lan bangga.","Semoga besok ujian lancar dan nilaiku bagus, supaya orang tuaku senang dan bangga."
"Menawi sampun rampung sinau, monggo dipun kempalaken malih buku-bukunipun supados tata rapi.","Jika sudah selesai belajar, silakan dikumpulkan kembali buku-bukunya supaya tertata rapi."
"Aku pengen banget bisa lunga menyang Eropa karo wong tuwaku, nanging yo durung ana rejeki.","Saya ingin sekali bisa pergi ke Eropa bersama orang tuaku, tapi ya belum ada rejeki."
Mugi-mugi sedoyo ingkang dipun tindakaken punika saged dados amal kesaenan ingkang dipun ridhoi Gusti Allah.,Semoga semua yang dilakukan ini dapat menjadi amal kebaikan yang diridhoi Tuhan Allah.
"Nak, dadi wong kuwi kudu jujur lan adil, aja ngapusi lan nglarani atine wong liya.","Nak, menjadi orang itu harus jujur dan adil, jangan menipu dan menyakiti hati orang lain."
"Nuwun sewu, kula badhe tumut langkung rumiyin, amargi kula kesesa badhe dhateng acara penting.","Permisi, saya mau ikut lewat dulu, karena saya terburu-buru akan pergi ke acara penting."
"Pengen banget nduwe omah dewe, mugo-mugo enggal kelakon lan iso nyenengake wong tuwo.","Ingin sekali punya rumah sendiri, semoga segera terwujud dan bisa membahagiakan orang tua."
"Nek arep lunga-lunga, aja lali kunci lawang lan jendhela, ben omahe aman lan ora dicolong.","Kalau mau pergi-pergi, jangan lupa kunci pintu dan jendela, biar rumahnya aman dan tidak dicuri."
Mugi-mugi panjenengan tansah dipun paringi kawarasan lan katentreman dening Gusti Ingkang Maha Agung.,Semoga anda selalu diberikan kesehatan dan keselamatan oleh Tuhan Yang Maha Agung.
