javanese,indonesian
"Aja lali mateni lampu yen arep turu, supaya ora boros listrik.","Jangan lupa mematikan lampu jika akan tidur, supaya tidak boros listrik."
"Kula badhe nyuwun pirsa, menapa leres bilih benjing wonten pelatihan komputer gratis ing balai desa?","Saya mau bertanya, apakah benar bahwa besok ada pelatihan komputer gratis di balai desa?"
"Nek wis gedhe, aja lali marang wong tuwa sing wis ngopeni saka cilik.","Kalau sudah besar, jangan lupakan orang tua yang sudah merawat dari kecil."
Mugi-mugi sedaya cita-cita lan pangajab panjenengan saged kaleksanan kanthi lancar.,Semoga semua cita-cita dan harapan anda dapat terlaksana dengan lancar.
"Aku pengen lunga menyang gunung Bromo, nanging durung ana wektu sing pas.","Saya ingin pergi ke gunung Bromo, tetapi belum ada waktu yang tepat."
Panjenengan kedah sabar lan tabah ngadhepi pacoban urip. Gusti Allah mboten sare.,Anda harus sabar dan tabah menghadapi cobaan hidup. Tuhan Allah tidak tidur.
"Wingi aku weruh kancaku nang pasar, saiki wis dadi pengusaha sukses.","Kemarin saya melihat temanku di pasar, sekarang sudah menjadi pengusaha sukses."
"Sumangga dipun raosaken masakanipun, mugi-mugi cocok kaliyan selera panjenengan sedaya.","Silakan dicicipi masakannya, semoga cocok dengan selera anda semua."
"Nek lungo adoh ojo lali pamit wong tuwo, ben selamet nang dalan.","Kalau pergi jauh jangan lupa pamit orang tua, biar selamat di jalan."
"Aja lali sholat, ngaji, lan ngabekti marang wong tuwa, iku kabeh kanggo sangu uripmu.","Jangan lupa sholat, mengaji, dan berbakti kepada orang tua, itu semua untuk bekal hidupmu."
"Kula ngaturaken sugeng riyadi Idul Adha, mugi sedaya amal ibadah panjenengan dipun tampi.","Saya mengucapkan selamat hari raya Idul Adha, semoga semua amal ibadah anda diterima."
"Menawi sampun rampung anggenipun maem, monggo dipun resiki sesarengan supados resik.","Jika sudah selesai makannya, mari dibersihkan bersama-sama supaya bersih."
"Sesuk aku arep melu lomba bal-balan antar sekolah, kudu latihan sing sregep.","Besok saya akan ikut lomba sepak bola antar sekolah, harus latihan yang rajin."
"Panjenengan kedah ngatos-atos anggenipun ngginakaken arta, supados mboten boros lan kecalan.","Anda harus berhati-hati dalam menggunakan uang, supaya tidak boros dan kehabisan."
"Aku seneng banget karo kowe, mugo-mugo wae kowe yo ngono.","Saya suka banget sama kamu, semoga saja kamu juga begitu."
"Sumangga dipun raosaken unjukanipun, mugi-mugi saged ngicali ngelak lan nambahi semangat.","Silakan dicicipi minumannya, semoga bisa menghilangkan dahaga dan menambah semangat."
"Nek udan ojo lali nganggo payung utowo jas udan, ben ora masuk angin.","Kalau hujan jangan lupa memakai payung atau jas hujan, biar tidak masuk angin."
"Aja lali ngewangi wong liyo sing kesusahan, kuwi nuduhake yen kowe kuwi apik atine.","Jangan lupa membantu orang lain yang kesusahan, itu menunjukkan kalau kamu itu baik hatinya."
"Kula nyuwun pamit, badhe tindak dhateng dalemipun simbah, nyuwun restu lan berkahipun.","Saya mohon pamit, mau pergi ke rumahnya kakek, meminta restu dan berkahnya."
"Menawi sampun rampung anggenipun sinau, monggo dipun tata malih buku-bukunipun supados rapi.","Jika sudah selesai belajarnya, mari ditata kembali buku-bukunya supaya rapi."
"Sesuk aku arep lunga nang Yogyakarta karo kanca-kanca, arep refreshing sawise ujian.","Besok saya akan pergi ke Yogyakarta dengan teman-teman, mau refreshing setelah ujian."
"Panjenengan kedah ngatos-atos anggenipun nyopir mobil, supados mboten terjadi kecelakaan.","Anda harus berhati-hati dalam mengemudi mobil, supaya tidak terjadi kecelakaan."
"Aku pengen banget iso ketemu karo idolaku, nanging yo mung iso ndelok saka TV.","Saya ingin banget bisa bertemu dengan idolaku, tetapi ya hanya bisa melihat dari TV."
"Sumangga dipun raosaken dhaharanipun, mugi-mugi saged ndadosaken sehat lan kuwat.","Silakan dicicipi makanannya, semoga bisa membuat sehat dan kuat."
"Nek nganggur ojo lali ngibadah, kuwi luwih becik timbang ngalamun ora karuan.","Kalau menganggur jangan lupa beribadah, itu lebih baik daripada melamun tidak karuan."
"Aja lali nglestarike budoyo Jowo, kuwi warisan saka para leluhur sing kudu dijaga.","Jangan lupa melestarikan budaya Jawa, itu warisan dari para leluhur yang harus dijaga."
"Kula ngaturaken sugeng enjing, mugi dinten punika kebak berkah lan rahmat saking Gusti.","Saya mengucapkan selamat pagi, semoga hari ini penuh berkah dan rahmat dari Tuhan."
"Menawi sampun rampung anggenipun nyambut damel, monggo dipun istirahataken supados seger.","Jika sudah selesai bekerjanya, mari diistirahatkan supaya segar."
"Sesuk aku arep lunga nang Solo karo mbahku, arep ziarah nang makam leluhur.","Besok saya akan pergi ke Solo dengan kakek, mau ziarah ke makam leluhur."
"Panjenengan kedah ngatos-atos anggenipun nglampahi urip, supados mboten salah dalan.","Anda harus berhati-hati dalam menjalani hidup, supaya tidak salah jalan."
"Aku seneng banget karo keluargaku, mugo-mugo wae keluargaku tansah bahagia.","Saya senang banget dengan keluargaku, semoga saja keluargaku selalu bahagia."
"Sumangga dipun raosaken masakanipun, mugi-mugi cocok kaliyan lidah panjenengan sedaya.","Silakan dicicipi masakannya, semoga cocok dengan lidah anda semua."
"Nek lungo ojo lali gawa sangu, ben ora kaliren nang dalan.","Kalau pergi jangan lupa bawa bekal, biar tidak kelaparan di jalan."
"Aja lali moco donga sakdurunge mangan, ben panganane dadi berkah lan sehat.","Jangan lupa membaca doa sebelum makan, biar makanannya jadi berkah dan sehat."
"Kula nyuwun pamit, badhe tumut ngaturi sugeng dhateng mantenanipun rencang kula.","Saya mohon pamit, mau ikut mengucapkan selamat kepada pernikahannya teman saya."
"Menawi sampun rampung, monggo dipun kempalaken malih pirantosipun supados gampil anggenipun ngresiki.","Jika sudah selesai, mari dikumpulkan kembali peralatannya supaya mudah membersihkannya."
"Sesuk aku arep lunga nang Malang karo keluargaku, arep dolan nang Selecta.","Besok saya akan pergi ke Malang dengan keluargaku, mau bermain ke Selecta."
"Panjenengan kedah ngatos-atos anggenipun nglampahi bisnis, supados mboten rugi lan kebangkrutan.","Anda harus berhati-hati dalam menjalani bisnis, supaya tidak rugi dan kebangkrutan."
"Aku pengen banget iso lunga menyang Korea, nanging yo durung ono rejeki.","Saya ingin banget bisa pergi ke Korea, tetapi ya belum ada rejeki."
"Sumangga dipun raosaken unjukanipun, mugi-mugi saged nambahi semangat lan kakuatan.","Silakan dicicipi minumannya, semoga bisa menambah semangat dan kekuatan."
"Nek kerja ojo lali istirahat, ben ora kesel lan tetep produktif.","Kalau bekerja jangan lupa istirahat, biar tidak capek dan tetap produktif."
"Aja lali ngopeni kewan ingon-ingon, kuwi yo makhluk ciptaane Gusti Allah.","Jangan lupa merawat hewan peliharaan, itu juga makhluk ciptaan Tuhan Allah."
"Kula ngaturaken sugeng dalu, mugi panjenengan sare kanthi angler lan ngimpi ingkang sae.","Saya mengucapkan selamat malam, semoga anda tidur dengan nyenyak dan bermimpi yang indah."
"Menawi sampun rampung anggenipun ndamel, monggo dipun resiki malih papanipun supados resik lan rapi.","Jika sudah selesai membuatnya, mari dibersihkan kembali tempatnya supaya bersih dan rapi."
"Sesuk aku arep lunga nang Surabaya karo kancaku, arep nyawang festival layang-layang.","Besok saya akan pergi ke Surabaya dengan temanku, mau melihat festival layang-layang."
"Panjenengan kedah ngatos-atos anggenipun milih kanca, supados mboten salah pergaulan.","Anda harus berhati-hati dalam memilih teman, supaya tidak salah pergaulan."
"Aku seneng banget karo kowe, mugo-mugo wae katresnan iki bakal langgeng sak lawase.","Saya senang banget sama kamu, semoga saja cinta ini akan langgeng selamanya."
"Sumangga dipun raosaken sadaya dhaharan lan unjukan ingkang sampun cumawis, mugi dados berkah.","Silakan dicicipi semua hidangan dan minuman yang sudah tersedia, semoga menjadi berkah."
Aja lali ngombe banyu putih sing akeh ben ora kekurangan cairan lan tetep sehat.,Jangan lupa minum air putih yang banyak biar tidak kekurangan cairan dan tetap sehat.
"Nek numpak motor ojo lali nganggo helm, nggo njaga keselamatan yen ono opo-opo.","Kalau naik motor jangan lupa memakai helm, untuk menjaga keselamatan jika ada apa-apa."
