javanese,indonesian
Aku arep lunga menyang pasar tuku janganan lan woh-wohan.,Saya mau pergi ke pasar membeli sayuran dan buah-buahan.
"Panjenengan sampun dhahar siang, Ibu? Menawi dereng, mangga kula aturi dhahar sareng-sareng.","Anda sudah makan siang, Ibu? Kalau belum, mari saya persilakan makan bersama-sama."
"Aja lali sinau sing sregep, amarga ilmu kuwi penting kanggo masa depanmu.","Jangan lupa belajar yang rajin, karena ilmu itu penting untuk masa depanmu."
"Simbah ngendika, dadi wong kuwi kudu sabar lan narima ing pandum, aja ngersula.","Kakek berkata, jadi orang itu harus sabar dan menerima apa adanya, jangan mengeluh."
"Menawi kesah dhateng Surabaya, panjenengan nitih napa? Sepur napa bis?","Kalau pergi ke Surabaya, anda naik apa? Kereta api atau bus?"
"Aku wingi ketemu kanca lawas ing mall. Wis suwe banget ora ketemu, dadi seneng banget.","Saya kemarin bertemu teman lama di mall. Sudah lama sekali tidak bertemu, jadi senang sekali."
Mugi-mugi panjenengan sedaya tansah pinaringan kesehatan lan kalancaran rejeki saking Gusti Allah.,Semoga anda semua selalu diberikan kesehatan dan kelancaran rejeki dari Tuhan Allah.
"Nek arep tuku klambi, aja lali dicoba dhisik supaya pas karo awakmu.","Kalau mau beli baju, jangan lupa dicoba dulu supaya pas dengan badanmu."
"Aja nganti lali marang Gusti Allah, amarga urip iki mung sawetara.","Jangan sampai lupa kepada Tuhan Allah, karena hidup ini hanya sementara."
Kula nyuwun pangapunten sanget menawi wonten lepat ingkang mboten kasengaja.,Saya mohon maaf sekali apabila ada kesalahan yang tidak disengaja.
Sesuk aku arep melu lomba nembang. Muga-muga aku bisa menang lan ngarumake jeneng sekolah.,Besok saya mau ikut lomba menyanyi. Semoga saya bisa menang dan mengharumkan nama sekolah.
"Panjenengan sampun mireng kabar menawi rega beras badhe minggah? Saeipun, saking sakmenika ngirit.","Anda sudah mendengar kabar kalau harga beras akan naik? Sebaiknya, mulai sekarang berhemat."
"Aku seneng banget karo kucingku. Kucingku lucu, nurut, lan seneng ngancani aku dolanan.","Saya senang sekali dengan kucingku. Kucingku lucu, nurut, dan senang menemaniku bermain."
"Nek kowe pengen sukses, kudu sregep sinau lan aja males. Sing penting, ndonga marang Gusti Allah.","Kalau kamu ingin sukses, harus rajin belajar dan jangan malas. Yang penting, berdoa kepada Tuhan Allah."
"Kula badhe tumut ndherek panjenengan dhateng acara punika, menawi panjenengan mboten keberatan.","Saya mau ikut anda ke acara itu, kalau anda tidak keberatan."
"Wektu prei wingi, aku lan keluargaku lunga menyang Yogyakarta. Yogyakarta pancen kutha sing istimewa.","Waktu libur kemarin, saya dan keluarga pergi ke Yogyakarta. Yogyakarta memang kota yang istimewa."
Mugi-mugi panjenengan tansah pinaringan kaberkahan lan karahayu dening Gusti Ingkang Maha Agung.,Semoga anda selalu diberikan keberkahan dan keselamatan oleh Tuhan Yang Maha Agung.
"Nek arep lunga-lunga, aja lali ngomong marang wong tuwa. Supaya wong tuwa ora kuwatir.","Kalau mau pergi-pergi, jangan lupa bilang kepada orang tua. Supaya orang tua tidak khawatir."
"Aja dadi wong sing sombong. Sing eling, kabeh kuwi mung titipan saka Gusti Allah.","Jangan jadi orang yang sombong. Ingatlah, semua itu hanya titipan dari Tuhan Allah."
"Kula nyuwun pamit, badhe kundur rumiyin. Matur nuwun saking sedaya wekdalipun.","Saya mohon pamit, mau pulang dulu. Terima kasih atas semua waktunya."
"Sesuk, aku kudu ngumpulke tugas. Mula saka kuwi, aku kudu sinau kanthi temen.","Besok, aku harus mengumpulkan tugas. Oleh karena itu, aku harus belajar dengan sungguh-sungguh."
Panjenengan punika saestu tiyang ingkang sae. Kula ngaturaken agunging panuwun.,Anda ini sungguh orang yang baik. Saya mengucapkan banyak terima kasih.
Aku isih ora ngerti ngapa kowe lunga ninggal aku. Ning aku tetep ngarepke kowe bali.,Aku masih tidak mengerti kenapa kamu pergi meninggalkanku. Tapi aku tetap mengharapkan kamu kembali.
Aja lali ngombe jamu supaya awake sehat. Jamu kuwi warisan saka leluhur.,Jangan lupa minum jamu supaya badannya sehat. Jamu itu warisan dari leluhur.
Mugi-mugi kaluwarga panjenengan tansah pinaringan katentreman lan kabagyan.,Semoga keluarga anda selalu diberikan ketentraman dan kebahagiaan.
"Yen arep dadi wong sukses, kudu wani rekasa. Rekasa kuwi dalane sukses.","Kalau mau menjadi orang sukses, harus berani susah. Susah itu jalannya sukses."
Aku ndonga muga-muga kabeh makhluk ing ndonya iki tansah diparingi katentreman lan karahayon.,Saya berdoa semoga semua makhluk di dunia ini selalu diberikan ketentraman dan keselamatan.
"Menawi badhe tindak dhateng Jakarta, panjenengan nitih pesawat utawi sepur?","Jika akan pergi ke Jakarta, anda naik pesawat atau kereta?"
Aku arep ngewangi ibuku masak ing pawon. Dina iki aku arep masak sega goreng.,Saya mau membantu ibuku memasak di dapur. Hari ini saya mau masak nasi goreng.
"Aja lali tansah eling marang Gusti Allah, amarga kabeh kuwi saka panjenengane.","Jangan lupa selalu ingat kepada Tuhan Allah, karena semua itu dari-Nya."
"Nek kowe pengen urip bahagia, kudu tansah bersyukur lan aja ngersula.","Kalau kamu ingin hidup bahagia, harus selalu bersyukur dan jangan mengeluh."
"Kula nyuwun pamit, badhe nglajengaken sinau rumiyin. Mugi-mugi saged pikantuk ilmu ingkang manfaat.","Saya mohon pamit, mau melanjutkan belajar dulu. Semoga bisa mendapatkan ilmu yang bermanfaat."
"Simbah ngendika yen urip iku kudu migunani kanggo wong liya. Dadi, ayo padha tumindak becik.","Kakek berkata kalau hidup itu harus berguna untuk orang lain. Jadi, ayo kita berbuat baik."
Aku pengen lunga menyang pantai. Aku pengen ngilangke penat sawise nyambut gawe sedina muput.,Saya ingin pergi ke pantai. Saya ingin menghilangkan penat setelah bekerja seharian penuh.
Mugi-mugi sedaya ingkang kula tindakaken punika saged dados berkah tumrap kula lan panjenengan sedaya.,Semoga semua yang saya lakukan ini bisa menjadi berkah untuk saya dan anda semua.
"Nek arep lunga adoh, aja lali pamit karo wong tuwa. Supaya dilancarke anggone lelungan.","Kalau mau pergi jauh, jangan lupa pamit dengan orang tua. Supaya dilancarkan perjalanannya."
"Aja nganti lali sholat, amarga sholat kuwi minangka cagak agama.","Jangan sampai lupa sholat, karena sholat itu merupakan tiang agama."
"Kula nyuwun agunging pangapunten, menawi wonten tindak tanduk ingkang mboten mranani penggalih.","Saya mohon maaf yang sebesar-besarnya, apabila ada tingkah laku yang tidak berkenan di hati."
Sesuk aku arep melu kegiatan bersih-bersih ing kampung. Supaya kampunge katon resik lan asri.,Besok saya mau ikut kegiatan bersih-bersih di kampung. Supaya kampungnya terlihat bersih dan asri.
