javanese,indonesian
Aku arep lunga menyang pasar tuku janganan kanggo masak sore iki.,Saya mau pergi ke pasar membeli sayuran untuk masak sore ini.
Piyé kabarmu saiki? Uwis suwé ora ketemu.,Bagaimana kabarmu sekarang? Sudah lama tidak bertemu.
Matur nuwun sanget sampun rawuh ing acara ulang tahun kula.,Terima kasih banyak sudah datang di acara ulang tahun saya.
"Sesuk nèk ora udan, arep dolan menyang pantai karo kanca-kanca.","Besok kalau tidak hujan, mau bermain ke pantai dengan teman-teman."
"Tulung resik-resik omah ya, aku arep lunga kerja saiki.","Tolong bersihkan rumah ya, saya mau berangkat kerja sekarang."
"Sugeng enjang, mugi-mugi dinten niki diparingi kelancaran.","Selamat pagi, semoga hari ini diberi kelancaran."
"Mangga dipun raosaken masakanipun, bilih wonten kirangipun nyuwun dipun ngapunten.","Silakan dicicipi masakannya, jika ada kekurangannya mohon dimaafkan."
Nek kepéngin sukses kuwi kudu sregep lan ora olèh males.,Kalau ingin sukses itu harus rajin dan tidak boleh malas.
"Aku wingi weruh kucing ing dalan, banjur tak pakani.","Saya kemarin melihat kucing di jalan, lalu saya beri makan."
"Sugeng sonten, kepripun kabare panjenengan sak keluargo?","Selamat sore, bagaimana kabarnya anda sekeluarga?"
"Nuwun sewu, dalem badhe taken, margi dhateng stasiun punika liwat pundi?","Permisi, saya mau bertanya, jalan ke stasiun itu lewat mana?"
"Menawi sampun rampung, monggo sami dipun resiki supados langkung sae.","Jika sudah selesai, mari sama-sama dibersihkan supaya lebih baik."
"Kula kesah rumiyin, amargi wonten perlu ingkang kedah dipun tindakaken.","Saya pergi dulu, karena ada keperluan yang harus dilaksanakan."
"Nek arep tuku buku, nang toko buku wae, ojo nang pinggir ndalan.","Kalau mau beli buku, ke toko buku saja, jangan di pinggir jalan."
"Aja lali ngombe jamu ben seger, iku warisan saka mbah buyut.","Jangan lupa minum jamu biar segar, itu warisan dari kakek buyut."
"Kulo ajeng matur dateng Bapak, bilih kawontenanipun griya sampun sae.","Saya ingin memberitahu kepada Bapak, bahwa keadaan rumah sudah baik."
"Nek arep nang omahku, gampang kok, lurus terus banjur belok kiri.","Kalau mau ke rumahku, gampang kok, lurus terus kemudian belok kiri."
"Menawi wonten wekdal, kersaa mampir dhateng gubuk kula, supados saged silaturahmi.","Jika ada waktu, sudilah mampir ke gubuk saya, supaya bisa bersilaturahmi."
"Nek awakmu pengen pinter, yo kudu sinau sing sregep lan aja nglokro.","Kalau kamu ingin pintar, ya harus belajar yang rajin dan jangan putus asa."
"Kula ajeng ngaturaken sugeng ambal warsa dateng panjenengan, mugi tansah pinaringan berkah.","Saya ingin mengucapkan selamat ulang tahun kepada anda, semoga selalu diberikan berkah."
"Sakniki jaman wis maju, kudu iso ngikuti perkembangan teknologi.","Sekarang zaman sudah maju, harus bisa mengikuti perkembangan teknologi."
