javanese,indonesian
"Sesuk aku arep dolan menyang omahe simbah ing ndesa, wis suwe ora ketemu.","Besok saya mau pergi ke rumah kakek di desa, sudah lama tidak bertemu."
"Menawi panjenengan kersa, sumangga dipununjuk unjukanipun rumiyin.","Jika Anda berkenan, silakan diminum minumannya terlebih dahulu."
"Aku pengen banget lunga menyang Jepang, ndeleng gunung Fuji sing kondhang kuwi.","Saya ingin sekali pergi ke Jepang, melihat gunung Fuji yang terkenal itu."
"Kula nyuwun pamit, amargi badhe kesah dateng Jakarta, wonten perlu penting.","Saya mohon pamit, karena akan pergi ke Jakarta, ada keperluan penting."
"Nek kepéngin pinter, yo kudu sregep sinau lan ora olèh gampang nyerah, ojo lali dunga.","Kalau ingin pintar, ya harus rajin belajar dan tidak boleh mudah menyerah, jangan lupa berdoa."
"Panganan ing warung iki pancen enak, nanging ojo kakehan yen ora pengin wetengmu lara.","Makanan di warung ini memang enak, tetapi jangan kebanyakan kalau tidak ingin perutmu sakit."
"Dhek biyen, saben sore aku mesti dolan karo kancaku, saiki wis padha sibuk dewe-dewe.","Dulu, setiap sore saya pasti bermain dengan temanku, sekarang sudah pada sibuk sendiri-sendiri."
"Menawi sampun cekap anggenipun dhahar, monggo sesarengan ngucap hamdalah minangka wujud syukur.","Jika sudah cukup dalam makan, mari bersama-sama mengucapkan hamdalah sebagai wujud syukur."
"Aku pengen cepet lulus sekolah, banjur golek nyambut gawe kanggo mbantu wong tuwa.","Saya ingin cepat lulus sekolah, lalu mencari pekerjaan untuk membantu orang tua."
"Nak, yen wis gedhe ojo lali karo wong tuwa, amarga wong tuwa iku wis ngopeni kowe saka cilik nganti gedhe.","Nak, jika sudah besar jangan lupa dengan orang tua, karena orang tua itu sudah merawat kamu dari kecil hingga besar."
"Sesuk yen udan, becike ora usah lungo-lungo. Luwih apik ngaso ning omah wae.","Besok jika hujan, sebaiknya tidak usah pergi-pergi. Lebih baik beristirahat di rumah saja."
"Nuwun sewu, dalem badhe nyuwun pirsa, menawi margi dhateng bandara punika liwat pundi nggih?","Permisi, saya mau bertanya, kalau jalan ke bandara itu lewat mana ya?"
Piye kabarmu saiki? Uwis suwe banget ora ketemu. Muga-muga kowe tansah sehat lan bahagia.,Bagaimana kabarmu sekarang? Sudah lama sekali tidak bertemu. Semoga kamu selalu sehat dan bahagia.
"Klambi iki apik banget, ning ngopo kok regane larang banget yo? Dadi ora sido tuku.","Baju ini bagus sekali, tapi kenapa harganya mahal sekali ya? Jadi tidak jadi beli."
"Nak, dadi wong kuwi kudu sabar lan narima, aja nganti serakah lan ngapusi wong liyo.","Nak, menjadi orang itu harus sabar dan menerima, jangan sampai serakah dan menipu orang lain."
Mugi-mugi sedaya ingkang dipun kajataken saged kaleksanan lan dipun paringi ridho dening Gusti Allah.,Semoga semua yang dicita-citakan bisa terlaksana dan diberikan ridho oleh Tuhan Allah.
"Wingi aku weruh kowe ing pasar, kok ora nyapo marang aku? Lali yen aku iki kancamu?","Kemarin saya melihat kamu di pasar, kok tidak menyapa kepada saya? Lupa kalau saya ini temanmu?"
"Saiki jaman wis modern, mulane kudu pinter nggunakake teknologi kanthi bijak lan tanggung jawab.","Sekarang zaman sudah modern, makanya harus pintar menggunakan teknologi dengan bijak dan tanggung jawab."
