javanese,indonesian
Aku arep lunga menyang Surabaya sesuk isuk.,Saya mau pergi ke Surabaya besok pagi.
"Menawi sampun rampung, sumangga dipunresiki sesarengan supados langkung sae.","Kalau sudah selesai, mari dibersihkan bersama-sama supaya lebih baik."
"Wingi aku weruh kucing ing dalan, banjur tak pakani.","Saya kemarin melihat kucing di jalan, lalu saya beri makan."
"Sugeng sonten, kepripun kabare panjenengan sak keluargo?","Selamat sore, bagaimana kabarnya anda sekeluarga?"
"Nuwun sewu, dalem badhe taken, margi dhateng stasiun punika liwat pundi?","Permisi, saya mau bertanya, jalan ke stasiun itu lewat mana?"
"Menawi sampun rampung, monggo sami dipun resiki supados langkung sae.","Kalau sudah selesai, mari sama-sama dibersihkan supaya lebih baik."
"Kula kesah rumiyin, amargi wonten perlu ingkang kedah dipun tindakaken.","Saya pergi dulu, karena ada keperluan yang harus dilaksanakan."
"Nek arep tuku buku, nang toko buku wae, ojo nang pinggir ndalan.","Kalau mau beli buku, ke toko buku saja, jangan di pinggir jalan."
"Aja lali ngombe jamu ben seger, iku warisan saka mbah buyut.","Jangan lupa minum jamu biar segar, itu warisan dari kakek buyut."
"Kulo ajeng matur dateng Bapak, bilih kawontenanipun griya sampun sae.","Saya ingin memberitahu kepada Bapak, bahwa keadaan rumah sudah baik."
"Nek arep nang omahku, gampang kok, lurus terus banjur belok kiri.","Kalau mau ke rumahku, gampang kok, lurus terus kemudian belok kiri."
"Menawi wonten wekdal, kersaa mampir dhateng gubuk kula, supados saged silaturahmi.","Jika ada waktu, sudilah mampir ke gubuk saya, supaya bisa bersilaturahmi."
"Nek awakmu pengen pinter, yo kudu sinau sing sregep lan aja nglokro.","Kalau kamu ingin pintar, ya harus belajar yang rajin dan jangan putus asa."
"Kula ajeng ngaturaken sugeng ambal warsa dateng panjenengan, mugi tansah pinaringan berkah.","Saya ingin mengucapkan selamat ulang tahun kepada anda, semoga selalu diberikan berkah."
"Sakniki jaman wis maju, kudu iso ngikuti perkembangan teknologi.","Sekarang zaman sudah maju, harus bisa mengikuti perkembangan teknologi."
"Nek arep mangan sego kucing, ojo lali njaluk sambel karo gereh.","Kalau mau makan nasi kucing, jangan lupa minta sambal dan ikan asin."
"Menawi sampun rampung, sumangga dipun tata malih saengga katingal sae.","Jika sudah selesai, silakan ditata kembali sehingga terlihat bagus."
