javanese,indonesian
Sesuk aku arep lunga menyang Surabaya. Arep niliki simbah sing lagi lara.,Besok saya akan pergi ke Surabaya. Mau menjenguk kakek yang sedang sakit.
"Menawi panjenengan kagungan wekdal longgar, sumangga mampir dhateng gubuk kula.","Apabila anda memiliki waktu luang, silakan mampir ke gubuk saya."
"Aja lali sholat limang wektu, kuwi kewajiban kanggo umat Islam.","Jangan lupa sholat lima waktu, itu kewajiban bagi umat Islam."
Kula ngaturaken sugeng ambal warsa dumateng panjenengan. Mugi-mugi tansah diparingi kesehatan.,Saya mengucapkan selamat ulang tahun kepada anda. Semoga selalu diberi kesehatan.
"Nek arep sukses, kudu sregep sinau lan ndonga. Ojo lali karo wong tuwa.","Kalau mau sukses, harus rajin belajar dan berdoa. Jangan lupakan orang tua."
"Dhahar sekul lawuh iwak asin lan sambel trasi, pancen nikmat tenan.","Makan nasi lauk ikan asin dan sambal terasi, memang nikmat sekali."
"Sumangga dipun raosaken unjukanipun, mugi-mugi saged nambahi kesegaran.","Silakan dicicipi minumannya, semoga bisa menambah kesegaran."
"Ngati-ati yen numpak motor, dalane rame lan akeh wong nyebrang.","Hati-hati kalau naik motor, jalannya ramai dan banyak orang menyeberang."
"Kula badhe nyuwun pamit, arep kondur rumiyin. Matur nuwun sanget sampun dipunaturi.","Saya mau minta pamit, mau pulang dulu. Terima kasih banyak sudah dijamu."
Mugi-mugi panjenengan tansah diparingi rejeki ingkang lancar lan berkah.,Semoga anda selalu diberi rejeki yang lancar dan berkah.
"Ojo lali ngewangi wong tuwa, senajan mung sethithik. Sing penting ikhlas lan ora ngersula.","Jangan lupa membantu orang tua, meskipun hanya sedikit. Yang penting ikhlas dan tidak mengeluh."
"Yen lunga-lunga, aja lali oleh-oleh kanggo keluarga ing omah.","Kalau pergi-pergi, jangan lupa oleh-oleh untuk keluarga di rumah."
"Kula nyuwun agunging pangapunten, menawi wonten lepat ingkang mboten kasengaja.","Saya mohon maaf yang sebesar-besarnya, apabila ada kesalahan yang tidak disengaja."
Sesuk arep ana pengajian akbar ing masjid agung. Aja lali melu ya.,Besok akan ada pengajian akbar di masjid agung. Jangan lupa ikut ya.
"Nek ora ana udan, enak yen dolan nang pantai. Bisa nglangi lan dolanan pasir.","Kalau tidak ada hujan, enak kalau bermain ke pantai. Bisa berenang dan bermain pasir."
"Panjenengan sampun dhahar, Ibu? Menawi dereng, sumangga kula aturi dhahar rumiyin.","Anda sudah makan, Ibu? Kalau belum, silakan saya persilakan makan dulu."
"Aja nganti lali marang Gusti Allah, senajan urip iki kebak kabungahan lan kasenengan.","Jangan sampai lupa kepada Tuhan Allah, meskipun hidup ini penuh kebahagiaan dan kesenangan."
Aku pengen lunga menyang Bali karo kanca-kancaku. Arep nginep ing hotel cedhak pantai.,Saya ingin pergi ke Bali bersama teman-temanku. Mau menginap di hotel dekat pantai.
"Nyuwun sewu, menawi saged, kula nyuwun dipun paringi wekdal kangge ngaturaken uneg-uneg ing manah.","Mohon maaf, jika berkenan, saya mohon diberikan waktu untuk menyampaikan isi hati."
