javanese,indonesian
"Piye kabarmu saiki? Uwis suwe ora ketemu, kangen banget aku.","Bagaimana kabarmu sekarang? Sudah lama tidak bertemu, aku sangat rindu."
"Nuwun sewu, kula badhe taken, menawi saking stasiun ajeng dhateng alun-alun punika numpak napa nggih?","Permisi, saya mau bertanya, kalau dari stasiun mau ke alun-alun itu naik apa ya?"
"Sesuk arep ana kerja bakti ing kampung, tulung melu ya ben kampung e resik lan guyup.","Besok akan ada kerja bakti di kampung, tolong ikut ya biar kampungnya bersih dan rukun."
"Menawi sampun rampung, monggo sami dipun resiki sesarengan supados langkung resik lan sae.","Jika sudah selesai, mari sama-sama dibersihkan supaya lebih bersih dan baik."
"Sakjane aku yo pengen lunga, tapi ora duwe duit, dadi ming meneng wae ning omah.","Sebenarnya aku juga ingin pergi, tapi tidak punya uang, jadi cuma diam saja di rumah."
"Mugi-mugi Gusti Allah tansah paring berkah dumateng panjenengan lan keluarga, amin.","Semoga Tuhan Allah selalu memberikan berkah kepada anda dan keluarga, amin."
"Wingi aku tuku klambi anyar ning pasar, modele apik lan regane murah, seneng banget aku.","Kemarin aku beli baju baru di pasar, modelnya bagus dan harganya murah, senang sekali aku."
"Menawi panjenengan kersa ngaso, sumangga pinarak rumiyin wonten ing kursi punika, mboten usah sungkan.","Jika anda berkenan beristirahat, silakan duduk dulu di kursi ini, tidak usah sungkan."
Ngopo kowe kok meneng wae? Opo ono masalah sing lagi mbok pikirke?,Kenapa kamu kok diam saja? Apa ada masalah yang sedang kamu pikirkan?
Kulo nggih kaget menawi panjenengan sampun dados kepala sekolah. Saestu hebat sanget.,Saya juga kaget kalau anda sudah menjadi kepala sekolah. Sungguh hebat sekali.
"Nek wis gedhe ojo lali karo wong tuo, amarga wong tuo kuwi kabeh-kabare.","Kalau sudah besar jangan lupakan orang tua, karena orang tua itu segalanya."
"Sumangga dipun raosaken unjukanipun, mugi-mugi saged maringi kesegaran badan.","Silakan dicicipi minumannya, semoga bisa memberikan kesegaran badan."
"Duh Gusti, kulo nyuwun pangapuro saking sedoyo kalepatan ingkang sampun kulo tindakaken.","Ya Tuhan, saya mohon ampun atas semua kesalahan yang sudah saya lakukan."
Panjenengan kedah sabar lan narima menawi dipun paringi ujian saking Gusti Allah.,Anda harus sabar dan menerima jika diberikan ujian dari Tuhan Allah.
"Aku pengen lunga nang Bali, nanging durung duwe biaya, muga-muga wae enggal keturutan.","Saya ingin pergi ke Bali, tetapi belum punya biaya, semoga saja segera kesampaian."
"Kulo ngaturaken sugeng riyadi Idul Fitri, mugi kita sedoyo dipunparingi berkah ing dinten ingkang fitri punika.","Saya mengucapkan selamat hari raya Idul Fitri, semoga kita semua diberikan berkah di hari yang fitri ini."
"Nak, yen arep dadi wong sing sukses, kudu sregep sinau lan ora gampang putus asa.","Nak, kalau mau jadi orang yang sukses, harus rajin belajar dan tidak mudah putus asa."
Mugi-mugi panjenengan sedoyo tansah pinaringan kasarasan lan katentreman ing gesangipun.,Semoga anda semua selalu diberikan kesehatan dan ketentraman dalam hidupnya.
