javanese,ground_truth,generated,bertscore
"Cepak saka hotelku nginep, namung digawa mlaku, ing kene akeh tenan pilian panganane, panggonane sing amba, lan nyenengake","Dekat dengan hotel saya menginap, hanya ditempuh jalan kaki, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan","""Setelah dari hotel tempat saya menginap, namun diajak jalan, di sini banyak sekali pilihan makanannya, tempat yang luas, dan menyenangkan""",0.9414002299308777
"Iya bener, deknen lagi jaga warung.","Iya benar, dia sedang jaga warung.","""Iya benar, mereka sedang jaga warung.""",0.9459749460220337
Kangkunge lumayan nanging yuyu saus padange nguciwakake dhewe dikei yuyu sing kopong akhir dhewe ora mangan yuyune lan dibalekake.,Kangkungnya lumayan tapi kepiting saus padangnya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan keptingnya dan dikembalikan.,"""Kangkonya lumayan tapi yuyu sausnya nguciwakake mereka kasih yuyu yang kopong terakhir mereka tidak makan yusanya dan dibalikkan.""",0.8870258927345276
"Manggon nang braga city walk sing sak gedung karo aston lan fave hotel, panggon iki nyaman banget dinggo nyangkruk-nyrangkruk. Kopi campur teh sing anyar lagek pisan iki aku njajal tibake enak banget, dipadu karo endog setengah mateng dadi kanca jagongan karo kanca-kanca. Panggon sing bebas rokokan tambah nyenengne karo nikmati pemandangan wira-wiri wong-wong sing mlebu metu mal iki.","Bertempat di braga city walk yang satu gedung dengan aston dan fave hotel, tempat ini sangat nyaman buat kongkow-kongkow. Kopi campur teh yang baru pertama kali saya nikmati ternyata sangat enak, dipadu dengan telur setengah matang menjadi pendamping mengobrol bersama teman-teman. Area yang bebas merokok semakin mengasyikkan sambil menikmati pemandangan lalu lalang orang-orang yang keluar masuk mal ini.","""Terletak di braga city walk seberang gedung sama aston dan fave hotel, tempat ini sangat nyaman buat ngobrol-ngobrol. Kopi campur teh yang baru saja terbuat saya sangat merekomendasikan. Digabungkan dengan endog setengah matang menjadi teman ngobrol dengan teman-teman. Tempat bebas rokokan menambah menyenangkan buat menikmati pemandangan beraneka wong-wong yang masuk ke mal ini.""",0.929642915725708
"Gianyar nompo bantuan sosial 2018 gedene rp 44, 9 milyat","Gianyar terima bantuan sosial 2018 sebesar rp 44, 9 miliar","""Gianyar terima bantuan sosial 2018 besarnya rp 44, 9 miliar""",0.9373143315315247
Iki salah siji conto generasi sing ora kangge. Ora malah migunani dinggo bangsa nanging malah dadi sesuatu sing mbahayani dinggo bangsa! Mantep jeraten ae nggawe uu ite,Ini salah satu contoh generasi yang tidak berguna. Bukan malah bermanfaat untuk bangsa tapi malah jadi sesuatu yang berbahaya bagi bangsa! Mantap jerat saja pakai uu ite,"""Ini salah satu conto generasi yang tidak untuk. Alih-alih berguna buat bangsa malah jadi sesuatu yang membahayakan bagi bangsa! Mantap terang saja bikin uu itu""",0.9115276336669922
"Sore konco, wektu iki lagi dilakokne pemeliharaan dadi aplikasi ora isa diakses.","Sore sahabat, saat ini sedang dilakukan pemeliharaan sehingga aplikasi tidak dapat diakses.","Sore teman, waktunya sekarang sedang dilakukan pemeliharaan sehingga aplikasi tidak bisa diakses.",0.9748223423957825
Tenan ringkih dhewe iki aku uga jiden saktenane,Memang lemah kita ini aku juga penakut sebenarnya,"""Sungguh keriuh kami ini aku juga jadi jenuh seketika",0.8647788763046265
"Terakhir nyang hanamasa regane 120 ewu / wong. Nanging puase luwih saka iku. Isa njupuk panganan sakpuase, nanging rasa ora nggelakne, pinter-pintere awakdewe ae ngeracik dewe. Lak penggemar daging sapi mesti seneng mrene","Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puasnya lebih dari itu. Bisa ambil makanan sepuasnya, tapi rasa tidak mengecewakan, pintar-pintar kita saja meracik sendiri. Kalau penggemar daging sapi pasti suka ke sini","""Terakhir ke hanamasa harganya 120 ribu / orang. Tapi puas lebih dari itu. Bisa ambil makanan yang puas, tapi rasa tidak mengecewakan, pinter-pinter dirinya sendiri aja make sendiri. Kalau penggemar daging sapi pasti senang sini""",0.9465558528900146
"Kanggo menyang ing the peak mesthi wae karasa adoh banget saka pusat kutha bandung, lan aksese sing lumayan mbingungake lan dalan cilike mbelak-mbelok. Nanging kowe bisa ora bakal kesasar amarga meh ing saben enggokan ana tanda marang ing the peak. Panggonane apik banget kanggo kowe sing nggolek suasana mbengi romantis, kanthi pemandangan mbengi kutha sing apik tenan.","Untuk menuju ke the peak memang terasa sangat jauh dari pusat kota bandung, dan aksesnya yang agak membingungkan dan jalan kecil berkelok-kelok. Namun anda mungkin tidak akan tersesat karena hampir di tiap belokan ada signage menuju ke the peak. Tempatnya sangat bagus untuk anda yang mencari suasana malam romantis, dengan pemandangan malam kota yang menakjubkan.","""Untuk menuju ke the peak memang deh terasa jauh banget dari pusat kota bandung, dan aksennya yang agak membingungkan dan jalannya berkelok-kelok. Tapi kamu tidak akan tersesat karena hampir di setiap belokan ada tanda menuju ke the peak. Tempatnya bagus banget buat kamu yang mencari suasana malam romantis, dengan pemandangan malam kota yang sangat bagus.""",0.9708021879196167
Kebon raya bogor isa didadekne salah siji tujuan destinasi wisata,Kebun raya bogor bisa dijadikan salah satu tujuan destinasi wisata,Kebon raya bogor bisa menjadi salah satu tujuan destinasi wisata,0.9803214073181152
"The peak panggone ning cedeke lembang, waratan duwur ning bandung sing adem lan panggone sing apik banget nanging dalan ngge moro panggonan iki kelok-kelok banget lan tikungan landep lan curam, ora disarane dingge motoran pas udan-udan lan wengi. Ning the peak ana nggen mangan sing pemandangane kutha bandung sing indah saka nggunung, rega panganane sing larang banget lan ora sumbut.","The peak berlokasi di dekat lembang, dataran tinggi di bandung yang sejuk dan lokasi yang sangat baik namun jalan untuk mencapai tempat ini sangat berkelok disertai tikungan tajam nan curam, tidak disarankan untuk berkendara saat hujan dan malam hari. Di the peak terdapat restoran dengan pemandangan kota bandung yang indah dari perbukitan, harga makanan yang sangat mahal dan sangat tidak sesuai.","""The peak tempatnya di CEDEKEL lembang, terletak jauh di bandung yang dingin dan tempatnya sangat bagus tapi jalan menuju ke tempat ini berliku-liku banget dan tikungan landeng dan curam, tidak disarankan untuk motoran saat hujan-hujan dan malam. Di the peak ada makan yang pemandangan kota bandung yang indah dari atas gunung, harganya yang sangat mahal dan tidak mencukupi.""",0.9297498464584351
Aku kapok nganggo jasa lion air,Saya kapok menggunakan jasa lion air,"""Aku kapok pakai jasa lion air""",0.9364117980003357
Akeh bab sing isa dhewe tindakake kanggo ngisi wektu luwang.,Banyak hal yang dapat kita lakukan untuk mengisi waktu luang.,"""Banyak hal yang bisa kita lakukan untuk mengisi waktu luang.""",0.965592086315155
Saya apatis ngelaporake bab-bab kaya iki. Amarga nganti minggu wingi isih tetep hurung digarap. Mung janji-janji terus.,Semakin apatis melaporkan hal-hal seperti ini. Karena sampai minggu lalu masih tetap belum dikerjakan. Hanya janji-janji terus.,"Saya apatis melaporkan bab-bab seperti ini. Karena sampai minggu kemarin masih tetap belum digarap. Hanya janji-janji terus. """,0.9591187834739685
Rega dhuwur banget porsi sithik banget ora janji maneh aku teko kanggo kepindho. Panganane ora beda adoh karo emakku dong!,Harga selangit porsi seiprit tidak janji lagi saya datang untuk yang kedua kali. Masakannya tidak beda jauh sama ema saya dong!,"""Harga tinggi banget porsi sedikit banget tidak ada janji lagi saya ke sana untuk kecewa. Makanannya tidak beda jauh sama ibu saya dong!""",0.908492922782898
"Anyar lan kashediya, 5 sekat mangan awan kotak kotak mangan yooyee kotak bekal anti bocor 590","Baru dan tersedia, 5 sekat makan siang kotak kotak makan yooyee kotak bekal anti bocor 590","Baru dan berkualitas, 5 porsi makan awan box box makan yooyee box bekal anti bocor 590",0.9457681179046631
"Ora ngerti ya kenangapa resto iki manggoni ranking 12 saka 1800an resto sing ana ing jakarta. Regane larang! Panggonane ndhelik, lan rasa panganane biasa bae. Aja percaya banget karo review sing nyesatake.","Tidak mengerti ya kenapa resto ini menduduki peringkat 12 dari 1800an resto yang ada di jakarta. Harga mahal! Lokasi tersembunyi, dan rasa makanan biasa saja. Jangan terlalu percaya sama review yang menyesatkanlah.","""Tidak pernah ya kenapa resto ini selalu menduduki ranking 12 dari 1800an resto yang ada di jakarta. Harga mahal! Penampilan luar biasa, dan rasa makanan biasa saja. Jangan percaya banget dengan review yang menyesatkan.""",0.951675534248352
Bledosan ning aksi protes ning afghanistan mateni wong 68,Ledakan dalam aksi protes di afghanistan tewaskan 68 orang,"""Huru-hara dalam aksi protes di afghanistan menewaskan 68 orang""",0.9428185224533081
"Aku teka marang restoran kuwi bareng karo kancaku. Kancaku kakehan kaget ndhelok pemandangane sing apik tenan ing mbengi. Aku ndhuweni kasempatan njajal stik impore, enak tenan apa maneh sause. Mmm yummi. Yen ana kasempatan aku pengen teka maneh marang kana.","Saya berkunjung ke restoran itu bersama dengan teman saya. Teman saya kebanyakan terkejut melihat pemandangannya yang sangat indah di malam hari. Saya berkesempatan mencoba steak impornya, sangat enak apalagi sausnya. Mmm yummi. Kalau ada kesempatan saya ingin berkunjung lagi ke sana.","""Saya datang ke restoran itu bersama dengan temanku. Temanku terlalu terpesona oleh pemandangan yang indah sungguh di malam hari. Saya berkesempatan mencoba stick impornya, enak sekali apalagi sausnya. Mmm yummi. Kalau ada kesempatan saya akan kembali ke sana.""",0.9611462950706482
Akses menyang dusun bambu isa ditekani kira-kira ing wektu 1 - 2 jam nganggo mobil pribadi. Mara menyang dusun bambu diusahakake pas wektu wengi amarga awake dhewe isa ndelok cetha pemandangan sing ana lan wektu sing pas kanggo mangan wengi.,Akses menuju dusun bambu bisa ditempuh kira-kira dalam waktu 1 - 2 jam menggunakan mobil pribadi. Berkunjung ke dusun bambu diusahakan saat petang hari karena kita dapat melihat jelas pemandangan yang ada dan waktu yang pas untuk makan malam.,"""Akses ke desa bambu dapat dicapai kira-kira dalam waktu 1 - 2 jam menggunakan mobil pribadi. Mengunjungi desa bambu diusahakan pada waktu malam karena kita dapat melihat keindahan pemandangan yang sedang dan waktu yang pas untuk makan malam.""",0.9589198231697083
"Panganane oke padha karo xo suki liyane. Nanging sanajan dina prei gedhe kaya badha iki udhu artine meseme prei lan pesenan ombe, lan liya-liyane kudu mesen ping akeh. Tulung dijaga kepuasan pelanggane. Matur suwun,","Makanan oke sama seperti xo suki lainnya. Tetapi walaupun hari libur besar seperti lebaran ini bukan berarti senyumnya libur dan order minum, dan lain-lain harus order berkali-kali. Tolong di jaga kepuasan pelanggannya. Terima kasih.","""Makanan oke sama seperti xo suki lainnya. Namun meskipun hari ini malamnya besar seperti akan ini berusaha untuk nyamaikannya. Tulung dijaga kepuasan pelanggan. Terima kasih,""",0.8983351588249207
"Restoran iki yaiku panggon kuliner sing wajib diparani umpama nyang bandung. Ora mung panganane sing manjakne ilat panganan sunda banget, restoran iki uga dibangun nganggo konsep mangan santai ning jero kali dadi nawarne pengalaman kuliner sing berkesan banget. Kudu dijajal dinggo sopo ae sing nyang bandung.","Restoran ini adalah sebuah destinasi kuliner yang wajib dikunjungi bila ke bandung. Selain makanan yang sangat memanjakan lidah makanan sunda, restoran ini juga dibangun dengan konsep makan santai di dalam saung yang dikelilingi alam hutan dan pegunungan yang dihias pepohonan rindang dan dihibur oleh gemericik air sungai sehingga menawarkan pengalaman kuliner yang teramat mengesankan. Harus dicoba bagi siapapun yang ke bandung.","""Restoran ini adalah tempat kuliner yang wajib dikunjungi sebagai salah satu tempat kuliner favorit dibanding bandung. Selain makanan yang memanjakan lidah dengan berbagai hidangan sunda sangat, restoran ini juga dibangun dengan konsep santai di tepi sungai sehingga menghadirkan pengalaman kuliner yang sangat berkesan. Harus dicoba untuk siapa saja yang berada di bandung.""",0.9238359928131104
Mbalik ngaktifne paket data indosat merga isa akses youtube unlimited.,Kembali mengaktifkan paket data indosat karena dapat akses youtube unlimited.,"""Balik aktifkan paket data indosat karena bisa akses youtube unlimited.""",0.9445359706878662
Aku nembe ngerti ketemu kancaku sek makarya nang trans tv,Saya baru saja bertemu teman saya yang bekerja di trans tv,"""Aku kebetulan bertemu teman saya yang sekarya di trans tv",0.933107316493988
"Omah mangan ning dalan anggrek iki nduwe keistimewaan jenis seafood sing rena-rena lan ana sing isih urip dinggo dipilih lan dimasak pas kuwi uga. Rena-rena jenis panganan isa dipilih lan wektu ngenteni sing sediluk nggarai adewe ora tek kesuwen keluwen ngenteni. Menu kerapu kukuse enak banget lan gurih, apa meneh lak dimasak karo iwak sing isih seger. Lokasine lumayan adem, regane mirah.","Rumah makan di jalan anggrek ini memiliki keistimewaan jenis seafood yang beragam dan ada yang masih hidup untuk dipilih dan dimasak saat itu juga. Berbagai jenis masakan dapat dipilih dan waktu tunggu yang singkat membuat kita tidak terlalu lama kelaparan menunggu. Menu kerapu kukusnya sangat enak dan gurih, apalagi bila dimasak dengan ikan yang masih segar. Lokasi cukup sejuk, harga murah.","""Rumah makan di jalan anggrek ini memiliki keistimewaan jenis seafood yang beragam dan ada yang masih hidup untuk dipilih dan dimasak sesuai keinginan. Berbagai jenis makanan dapat dipilih dan waktu menunggu yang singkat membuat kami tidak terlalu kelihatan menunggu. Menu kepiting kukus sangat enak dan gurih, apalagi jika dimasak dengan udang yang masih segar. Lokasinya cukup adem, harganya terjangkau.""",0.9684714078903198
"Kaya biasane awakdewe mesti golek kuliner sing liya timbangane sing liyane, awakdewe entuk ning panggen iki yaiku the restaurant padma hotel. Awakdewe pesen menu sing ana. Ana saka indonesia, eropa lan cina, tibake kabeh masakane enak kabeh.","Seperti biasa kami selalu mencari kuliner yang lain daripada yang lain, dapatlah kami di tempat ini yaitu the restaurant padma hotel. Kami memesan menu yang ada. Ada dari indonesia, eropa dan chinese, ternyata semua masakannya enak semuanya.","""Seperti biasanya kita selalu cari kuliner yang beda dibandingkan yang lain, kita putuskan ke padma restaurant hotel. Kita order menu yang ada. Ada dari indonesia, eropa dan china, ternyata semua masakannya enak semua.""",0.9469155669212341
